"Transmitter","N.detections","First.detection","Last.detection","Receivers"
"A69-9006-3944",818,"2020-12-23 23:45:52","2021-01-13 03:07:49","122358, 124066, 127720, 122324, 127109, 122348, 122340, 122333, 122353, 122365, 127721, 112285, 124078, 122351, 122339, 122328, 127716, 126195, 134898, 127735, 115439, 123831, 123832"
"A69-9006-3964",700,"2019-10-04 22:36:54","2019-11-11 02:09:28","124066, 127720, 122324, 127109, 122340, 122333, 122332, 122353, 122365, 127721, 112285, 124063, 124078, 122351, 122339, 122328, 113524, 127719, 122319, 127738, 126195, 127716, 134898, 127734, 127731, 546900, 120874, 120876, 120873, 120882, 120883, 120886, 122343"
"A69-9006-3966",250,"2019-10-17 18:46:21","2019-11-04 12:24:11","122358, 124066, 127720, 122324, 127109, 122340, 122333, 122332, 122353, 122365, 127721, 112285, 124063, 124078, 122351, 122339, 122328, 113524, 127719, 122319, 127738, 127716, 126195, 127728, 127732, 134898, 127735, 115439, 127725, 122343, 120886, 120878, 480722"
"A69-9006-3968",107,"2019-10-09 02:29:56","2019-12-02 07:17:09","124066, 127720, 122324, 127109, 122340, 122333, 122332, 122353, 122365, 127721, 112285, 124063, 124078, 122351, 122339, 122328, 113524, 112295, 127719, 127738, 122319, 127716, 127732, 127734, 127731, 122329, 120876, 120874"
"A69-9006-3970",169,"2019-12-14 19:15:27","2020-01-04 14:45:16","124066, 127720, 122324, 127109, 122340, 122333, 122332, 122353, 122365, 127721, 112285, 124063, 124078, 122351, 122339, 122328, 113524, 127719, 112295, 122319, 127738, 127716, 126195, 115442, 115441, 122336, 122367, 122363, 115430, 127732"
"A69-9006-3972",3428,"2019-12-09 23:24:03","2020-01-02 17:34:38","122358, 124066, 127720, 122324, 127109, 122340, 122333, 122332, 122353, 122365, 127721, 112285, 124063, 124078, 122351, 122339, 122328, 113524, 127738, 122319, 127716, 126195, 127732, 134898, 127735, 115439, 127725, 546900, 120874"
"A69-9006-3974",123,"2019-11-29 03:10:35","2019-12-10 18:15:28","122358, 124066, 127720, 122324, 127109, 122340, 122333, 122332, 122353, 122365, 127721, 112285, 124063, 124078, 122351, 122339, 122328, 113524, 112295, 127716, 126195"
"A69-9006-3976",169,"2019-10-17 18:10:12","2019-11-29 10:07:07","122358, 124066, 127720, 122324, 127109, 122340, 122333, 122332, 122353, 122365, 127721, 112285, 124063, 124078, 122351, 122339, 122328, 113524, 127719, 127738, 122319, 127716, 134898, 127735, 127725, 127731, 127734, 129566, 120886, 120873, 122329, 120883, 120882, 480722"
"A69-9006-3978",175,"2019-10-09 18:35:44","2019-11-16 08:27:26","124066, 127720, 122324, 127109, 122340, 122333, 122332, 122353, 122365, 127721, 112285, 124063, 124078, 122351, 122339, 122328, 113524, 127719, 127738, 122319, 127716, 126195, 127732, 127735, 127725, 122329, 546900"
"A69-9006-3980",678,"2019-12-10 10:52:16","2019-12-27 19:19:04","122358, 124066, 127720, 122324, 127109, 122340, 122333, 122332, 122353, 122365, 127721, 112285, 124063, 124078, 122351, 122339, 122328, 113524, 127738, 122319, 127716, 126195, 127732, 134898, 127735, 122329, 120874, 131002"
"A69-9006-3984",97,"2020-12-15 18:37:48","2020-12-20 22:11:27","122358, 124066, 127720, 122324, 127109, 122348, 122340, 122333, 122332, 122353, 122365, 127721, 112285, 124078, 122351, 122339, 122328, 113524, 122319, 127716, 127722, 127735, 115439, 127725, 115447, 122346, 127736, 120883, 120873, 120882, 120876, 120874"
"A69-9006-3986",124,"2020-12-23 18:15:48","2021-01-08 11:52:10","124066, 127720, 122324, 127109, 122348, 122340, 122333, 122332, 122353, 122365, 127721, 112285, 124078, 122351, 122339, 122328, 122319, 127716, 127732, 134898, 127735, 115439, 120886, 120878, 120884, 122343"
"A69-9006-3988",125,"2020-12-15 20:45:26","2021-01-16 18:26:29","124066, 127720, 122324, 127109, 122348, 122340, 122333, 122332, 122353, 122365, 127721, 112285, 124078, 122351, 122339, 122328, 127719, 115442, 115441, 126195, 127732, 115439, 127725, 127722, 115447, 122349, 127736, 120886, 115443, 115434, 120887, 120884"
