...1,animal_project_code,scientific_name,Serial.nr,Signal,capture_date_time,capture_location,capture_latitude,capture_longitude,capture_method,Release.date,Release.site,release_latitude,release_longitude,length1_type,length1,length1_unit,length2_type,length2,length2_unit,length3_type,length3,length3_unit,length4_type,length4,length4_unit,weight,weight_unit,age,age_unit,sex,life_stage,treatment_type,Code.space
1,2019_Grotenete,Anguilla anguilla,1171748,26502,02/10/2019 08:00,Downstream weir Maelesbroek,51.149272,5.011614,Fyke net,2019-10-02T13:00:00Z,rel_grotenete1,51.144779,5.003906,total length,658,mm,vertical eye diameter,9.8,mm,horizontal eye diameter,10.24,mm,pectoral fin length,34.42,mm,571,g,NA,NA,female,FV,NA,A69-1601
2,2019_Grotenete,Anguilla anguilla,1171749,26503,02/10/2019 08:00,Downstream weir Maelesbroek,51.149272,5.011614,Fyke net,2019-10-02T13:00:00Z,rel_grotenete1,51.144779,5.003906,total length,655,mm,vertical eye diameter,8.44,mm,horizontal eye diameter,9.82,mm,pectoral fin length,35.94,mm,513,g,NA,NA,female,FV,NA,A69-1601
3,2019_Grotenete,Anguilla anguilla,1171750,26504,02/10/2019 08:00,Downstream weir Maelesbroek,51.149272,5.011614,Fyke net,2019-10-02T13:00:00Z,rel_grotenete1,51.144779,5.003906,total length,686,mm,vertical eye diameter,9.22,mm,horizontal eye diameter,9.68,mm,pectoral fin length,34.4,mm,565,g,NA,NA,female,FV,NA,A69-1601
4,2019_Grotenete,Anguilla anguilla,1171751,26505,02/10/2019 08:00,Downstream weir Maelesbroek,51.149272,5.011614,Fyke net,2019-10-02T13:00:00Z,rel_grotenete1,51.144779,5.003906,total length,770,mm,vertical eye diameter,7.28,mm,horizontal eye diameter,7.76,mm,pectoral fin length,32.56,mm,825,g,NA,NA,female,FIII,NA,A69-1601
5,2019_Grotenete,Anguilla anguilla,1305787,11944,02/10/2019 08:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,2019-10-02T13:00:00Z,rel_grotenete1,51.144779,5.003906,total length,555,mm,vertical eye diameter,7.76,mm,horizontal eye diameter,8.46,mm,pectoral fin length,29.24,mm,362,g,NA,NA,female,FV,NA,A69-1602
6,2019_Grotenete,Anguilla anguilla,1305788,11945,02/10/2019 08:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,2019-10-02T13:00:00Z,rel_grotenete1,51.144779,5.003906,total length,423,mm,vertical eye diameter,6.52,mm,horizontal eye diameter,6.54,mm,pectoral fin length,20.72,mm,141,g,NA,NA,male,MII,NA,A69-1602
7,2019_Grotenete,Anguilla anguilla,1305789,11946,02/10/2019 08:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,2019-10-02T13:00:00Z,rel_grotenete1,51.144779,5.003906,total length,578,mm,vertical eye diameter,7.58,mm,horizontal eye diameter,8.5,mm,pectoral fin length,29.3,mm,335,g,NA,NA,female,FV,NA,A69-1602
8,2019_Grotenete,Anguilla anguilla,1305790,11947,02/10/2019 08:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,2019-10-02T13:00:00Z,rel_grotenete1,51.144779,5.003906,total length,554,mm,vertical eye diameter,7.52,mm,horizontal eye diameter,7.88,mm,pectoral fin length,22.1,mm,317,g,NA,NA,female,FIII,NA,A69-1602
9,2019_Grotenete,Anguilla anguilla,1305791,11948,02/10/2019 08:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,2019-10-02T13:00:00Z,rel_grotenete1,51.144779,5.003906,total length,559,mm,vertical eye diameter,6.76,mm,horizontal eye diameter,7.66,mm,pectoral fin length,22.72,mm,317,g,NA,NA,female,FIII,NA,A69-1602
10,2019_Grotenete,Anguilla anguilla,1305792,11949,02/10/2019 08:00,Downstream fish ladder Meerhout,51.136875,5.081571,Fyke net,2019-10-02T13:00:00Z,rel_grotenete1,51.144779,5.003906,total length,628,mm,vertical eye diameter,6.7,mm,horizontal eye diameter,7.72,mm,pectoral fin length,27.16,mm,388,g,NA,NA,female,FIII,NA,A69-1602
11,2019_Grotenete,Anguilla anguilla,1305793,11950,02/10/2019 08:00,Downstream fish ladder Meerhout,51.136875,5.081571,Fyke net,2019-10-02T13:00:00Z,rel_grotenete1,51.144779,5.003906,total length,544,mm,vertical eye diameter,8.2,mm,horizontal eye diameter,9.5,mm,pectoral fin length,29.32,mm,283,g,NA,NA,female,FV,NA,A69-1602
12,2019_Grotenete,Anguilla anguilla,1294154,3965,02/10/2019 08:00,Downstream weir Maelesbroek,51.149272,5.011614,Fyke net,2019-10-02T13:00:00Z,rel_grotenete1,51.144779,5.003906,total length,727,mm,vertical eye diameter,9.3,mm,horizontal eye diameter,10.5,mm,pectoral fin length,30.78,mm,722,g,NA,NA,female,FIII,NA,A69-9006
13,2019_Grotenete,Anguilla anguilla,1294155,3967,02/10/2019 08:00,Downstream weir Maelesbroek,51.149272,5.011614,Fyke net,2019-10-02T13:00:00Z,rel_grotenete1,51.144779,5.003906,total length,798,mm,vertical eye diameter,9.14,mm,horizontal eye diameter,11.28,mm,pectoral fin length,37.28,mm,855,g,NA,NA,female,FV,NA,A69-9006
14,2019_Grotenete,Anguilla anguilla,1294156,3969,02/10/2019 08:00,Downstream weir Maelesbroek,51.149272,5.011614,Fyke net,2019-10-02T13:00:00Z,rel_grotenete1,51.144779,5.003906,total length,716,mm,vertical eye diameter,9.2,mm,horizontal eye diameter,9.62,mm,pectoral fin length,31.72,mm,685,g,NA,NA,female,FIII,NA,A69-9006
15,2019_Grotenete,Anguilla anguilla,1294157,3971,02/10/2019 08:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,2019-10-02T13:00:00Z,rel_grotenete1,51.144779,5.003906,total length,773,mm,vertical eye diameter,10,mm,horizontal eye diameter,10.84,mm,pectoral fin length,32.18,mm,949,g,NA,NA,female,FIV,NA,A69-9006
16,2019_Grotenete,Anguilla anguilla,1294158,3973,02/10/2019 08:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,2019-10-02T13:00:00Z,rel_grotenete1,51.144779,5.003906,total length,669,mm,vertical eye diameter,8.94,mm,horizontal eye diameter,9.8,mm,pectoral fin length,31.68,mm,631,g,NA,NA,female,FV,NA,A69-9006
17,2019_Grotenete,Anguilla anguilla,1294159,3975,02/10/2019 08:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,2019-10-02T13:00:00Z,rel_grotenete1,51.144779,5.003906,total length,779,mm,vertical eye diameter,9.38,mm,horizontal eye diameter,10.1,mm,pectoral fin length,40.18,mm,872,g,NA,NA,female,FV,NA,A69-9006
18,2019_Grotenete,Anguilla anguilla,1305786,11943,03/10/2019 08:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,2019-10-03T12:00:00Z,rel_grotenete1,51.144779,5.003906,total length,629,mm,vertical eye diameter,8.7,mm,horizontal eye diameter,8.73,mm,pectoral fin length,28.92,mm,407,g,NA,NA,female,FV,NA,A69-1602
19,2019_Grotenete,Anguilla anguilla,1294160,3977,03/10/2019 08:00,Downstream weir Maelesbroek,51.149272,5.011614,Fyke net,2019-10-03T12:00:00Z,rel_grotenete1,51.144779,5.003906,total length,778,mm,vertical eye diameter,10.67,mm,horizontal eye diameter,11.55,mm,pectoral fin length,44,mm,834,g,NA,NA,female,FV,NA,A69-9006
20,2019_Grotenete,Anguilla anguilla,1294161,3979,03/10/2019 08:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,2019-10-03T12:00:00Z,rel_grotenete1,51.144779,5.003906,total length,679,mm,vertical eye diameter,9.13,mm,horizontal eye diameter,9.26,mm,pectoral fin length,36.61,mm,730,g,NA,NA,female,FV,NA,A69-9006
21,2019_Grotenete,Anguilla anguilla,1305785,11942,08/10/2019 08:00,Downstream weir Maelesbroek,51.149272,5.011614,Fyke net,2019-10-08T09:00:00Z,rel_grotenete1,51.144779,5.003906,total length,660,mm,vertical eye diameter,8.46,mm,horizontal eye diameter,9.58,mm,pectoral fin length,35,mm,385,g,NA,NA,female,FV,NA,A69-1602
22,2019_Grotenete,Anguilla anguilla,1171746,26500,09/10/2019 14:30,Downstream fish ladder Meerhout,51.136875,5.081571,Fyke net,2019-10-09T17:30:00Z,rel_grotenete1,51.144779,5.003906,total length,691,mm,vertical eye diameter,8.69,mm,horizontal eye diameter,9.59,mm,pectoral fin length,34.69,mm,571,g,NA,NA,female,FV,NA,A69-1601
23,2019_Grotenete,Anguilla anguilla,1171747,26501,09/10/2019 14:30,Downstream fish ladder Meerhout,51.136875,5.081571,Fyke net,2019-10-09T17:30:00Z,rel_grotenete1,51.144779,5.003906,total length,641,mm,vertical eye diameter,6.61,mm,horizontal eye diameter,7.08,mm,pectoral fin length,30.33,mm,459,g,NA,NA,female,FIII,NA,A69-1601
24,2019_Grotenete,Anguilla anguilla,1171753,26507,09/10/2019 14:30,Downstream fish ladder Meerhout,51.136875,5.081571,Fyke net,2019-10-09T17:30:00Z,rel_grotenete1,51.144779,5.003906,total length,635,mm,vertical eye diameter,9.19,mm,horizontal eye diameter,9.77,mm,pectoral fin length,35.63,mm,462,g,NA,NA,female,FV,NA,A69-1601
25,2019_Grotenete,Anguilla anguilla,1305784,11941,10/10/2019 09:30,Downstream fish ladder Meerhout,51.136875,5.081571,Fyke net,2019-10-10T11:30:00Z,rel_grotenete1,51.144779,5.003906,total length,555,mm,vertical eye diameter,8.9,mm,horizontal eye diameter,8.84,mm,pectoral fin length,33.2,mm,276,g,NA,NA,female,FV,NA,A69-1602
26,2019_Grotenete,Anguilla anguilla,1294162,3981,10/10/2019 09:30,Downstream fish ladder Meerhout,51.136875,5.081571,Fyke net,2019-10-10T11:30:00Z,rel_grotenete1,51.144779,5.003906,total length,786,mm,vertical eye diameter,11.35,mm,horizontal eye diameter,12.54,mm,pectoral fin length,41.98,mm,874,g,NA,NA,female,FV,NA,A69-9006
27,2019_Grotenete,Anguilla anguilla,1294164,3985,08/10/2020 10:30,Downstream confluent Molse Nete and Grote Nete,51.144779,5.003906,Fyke net,2020-10-08T11:00:00Z,rel_grotenete1,51.144779,5.003906,total length,781,mm,vertical eye diameter,10.61,mm,horizontal eye diameter,11.28,mm,pectoral fin length,40.05,mm,756,g,NA,NA,female,FV,NA,A69-9006
28,2019_Grotenete,Anguilla anguilla,1294168,3993,09/10/2020 09:45,Downstream confluent Molse Nete and Grote Nete,51.144779,5.003906,Fyke net,2020-10-09T10:15:00Z,rel_grotenete1,51.144779,5.003906,total length,736,mm,vertical eye diameter,7.05,mm,horizontal eye diameter,7.8,mm,pectoral fin length,37.75,mm,705.6,g,NA,NA,female,FIII,NA,A69-9006
29,2019_Grotenete,Anguilla anguilla,1294172,4001,14/10/2020 09:45,Molse Nete,51.147663,5.003922,Fyke net,2020-10-14T10:30:00Z,rel_grotenete2,51.139997,4.997392,total length,666,mm,vertical eye diameter,7.63,mm,horizontal eye diameter,8,mm,pectoral fin length,29.75,mm,502.2,g,NA,NA,female,FIII,NA,A69-9006
30,2019_Grotenete,Anguilla anguilla,1294171,3999,14/10/2020 09:55,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,2020-10-14T10:30:00Z,rel_grotenete2,51.139997,4.997392,total length,647,mm,vertical eye diameter,8.56,mm,horizontal eye diameter,9.08,mm,pectoral fin length,32.55,mm,464,g,NA,NA,female,FV,NA,A69-9006
31,2019_Grotenete,Anguilla anguilla,1294166,3989,09/12/2020 10:45,Wildersedijk Grote Nete,51.138881,4.996931,Fyke net,2020-12-09T11:10:00Z,rel_grotenete3,51.138881,4.996931,total length,660,mm,vertical eye diameter,9.15,mm,horizontal eye diameter,9.17,mm,pectoral fin length,33.24,mm,585.6,g,NA,NA,female,FV,NA,A69-9006
32,2019_Grotenete,Anguilla anguilla,1294169,3995,16/12/2020 10:00,Upstream weir Maelesbroek,51.14942,5.013359,Fyke net,2020-12-16T12:30:00Z,rel_grotenete1,51.144779,5.003906,total length,780,mm,vertical eye diameter,7.7,mm,horizontal eye diameter,7.89,mm,pectoral fin length,37.76,mm,825.1,g,NA,NA,female,FIII,NA,A69-9006
33,2019_Grotenete,Anguilla anguilla,1294170,3997,16/12/2020 10:00,Upstream weir Maelesbroek,51.14942,5.013359,Fyke net,2020-12-16T12:30:00Z,rel_grotenete1,51.144779,5.003906,total length,688,mm,vertical eye diameter,10.1,mm,horizontal eye diameter,10.04,mm,pectoral fin length,37.57,mm,637.2,g,NA,NA,female,FV,NA,A69-9006
34,2019_Grotenete,Anguilla anguilla,1294167,3991,16/12/2020 10:00,Upstream weir Maelesbroek,51.14942,5.013359,Fyke net,2020-12-16T12:30:00Z,rel_grotenete1,51.144779,5.003906,total length,795,mm,vertical eye diameter,10.63,mm,horizontal eye diameter,11.89,mm,pectoral fin length,43.77,mm,1074.5,g,NA,NA,female,FIV,NA,A69-9006
35,2019_Grotenete,Anguilla anguilla,1294165,3987,16/12/2020 10:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,2020-12-16T12:30:00Z,rel_grotenete1,51.144779,5.003906,total length,688,mm,vertical eye diameter,9.12,mm,horizontal eye diameter,10,mm,pectoral fin length,30.16,mm,557,g,NA,NA,female,FV,NA,A69-9006
36,2019_Grotenete,Anguilla anguilla,1294189,4035,16/12/2020 10:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,2020-12-16T12:30:00Z,rel_grotenete1,51.144779,5.003906,total length,642,mm,vertical eye diameter,8.9,mm,horizontal eye diameter,8.95,mm,pectoral fin length,33.29,mm,524,g,NA,NA,female,FV,NA,A69-9006
37,2019_Grotenete,Anguilla anguilla,1294190,4037,16/12/2020 10:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,2020-12-16T12:30:00Z,rel_grotenete1,51.144779,5.003906,total length,649,mm,vertical eye diameter,10.06,mm,horizontal eye diameter,10.71,mm,pectoral fin length,33.59,mm,509.1,g,NA,NA,female,FV,NA,A69-9006
38,2019_Grotenete,Anguilla anguilla,1294191,4039,18/12/2020 08:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,2020-12-18T10:35:00Z,rel_grotenete1,51.144779,5.003906,total length,686,mm,vertical eye diameter,7.27,mm,horizontal eye diameter,7.68,mm,pectoral fin length,28.41,mm,514.6,g,NA,NA,female,FIII,NA,A69-9006
39,2019_Grotenete,Anguilla anguilla,1293822,3945,18/12/2020 08:00,Upstream weir Maelesbroek,51.14942,5.013359,Fyke net,2020-12-18T10:35:00Z,rel_grotenete1,51.144779,5.003906,total length,705,mm,vertical eye diameter,9.66,mm,horizontal eye diameter,9.69,mm,pectoral fin length,32.72,mm,609.3,g,NA,NA,female,FV,NA,A69-9006
