"","...1","Timestamp","Value","Quality Code"
"1",1,2019-01-01,40.05,41
"2",2,2019-01-02,38.6,21
"3",3,2019-01-03,36.96,21
"4",4,2019-01-04,36.35,21
"5",5,2019-01-05,37.75,21
"6",6,2019-01-06,39.93,21
"7",7,2019-01-07,41.03,21
"8",8,2019-01-08,46.25,21
"9",9,2019-01-09,46.59,21
"10",10,2019-01-10,42.5,21
"11",11,2019-01-11,44.25,21
"12",12,2019-01-12,51.4,21
"13",13,2019-01-13,67.54,21
"14",14,2019-01-14,74.82,21
"15",15,2019-01-15,57.82,21
"16",16,2019-01-16,50.34,21
"17",17,2019-01-17,61.38,21
"18",18,2019-01-18,66.83,21
"19",19,2019-01-19,50.7,21
"20",20,2019-01-20,45.18,21
"21",21,2019-01-21,41.26,21
"22",22,2019-01-22,38.78,21
"23",23,2019-01-23,39.96,21
"24",24,2019-01-24,39.54,21
"25",25,2019-01-25,40.82,21
"26",26,2019-01-26,51.25,21
"27",27,2019-01-27,101.58,21
"28",28,2019-01-28,138.16,21
"29",29,2019-01-29,86.88,41
"30",30,2019-01-30,75.96,21
"31",31,2019-01-31,66.33,21
"32",32,2019-02-01,70.56,21
"33",33,2019-02-02,110.94,21
"34",34,2019-02-03,117.84,21
"35",35,2019-02-04,83.41,21
"36",36,2019-02-05,66.18,21
"37",37,2019-02-06,68.22,21
"38",38,2019-02-07,81.36,21
"39",39,2019-02-08,76.46,21
"40",40,2019-02-09,94.37,21
"41",41,2019-02-10,136.58,21
"42",42,2019-02-11,134.87,21
"43",43,2019-02-12,100.29,21
"44",44,2019-02-13,75.15,21
"45",45,2019-02-14,65.12,21
"46",46,2019-02-15,59.18,21
"47",47,2019-02-16,55.39,21
"48",48,2019-02-17,52.84,21
"49",49,2019-02-18,49.6,21
"50",50,2019-02-19,47.87,21
"51",51,2019-02-20,45.7,21
"52",52,2019-02-21,44.52,21
"53",53,2019-02-22,43.35,21
"54",54,2019-02-23,42.23,21
"55",55,2019-02-24,41.3,21
"56",56,2019-02-25,39.87,21
"57",57,2019-02-26,39.89,21
"58",58,2019-02-27,39.5,21
"59",59,2019-02-28,42.93,21
"60",60,2019-03-01,52.91,21
"61",61,2019-03-02,50.13,21
"62",62,2019-03-03,50.01,21
"63",63,2019-03-04,53.18,21
"64",64,2019-03-05,55.92,21
"65",65,2019-03-06,56.11,21
"66",66,2019-03-07,76.47,21
"67",67,2019-03-08,73.9,21
"68",68,2019-03-09,70.79,21
"69",69,2019-03-10,87.88,21
"70",70,2019-03-11,87.03,21
"71",71,2019-03-12,75.26,21
"72",72,2019-03-13,91.03,21
"73",73,2019-03-14,133.67,21
"74",74,2019-03-15,171.14,21
"75",75,2019-03-16,186.61,21
"76",76,2019-03-17,152.44,21
"77",77,2019-03-18,128.24,21
"78",78,2019-03-19,101.27,21
"79",79,2019-03-20,87.92,21
"80",80,2019-03-21,75.45,21
"81",81,2019-03-22,66.51,21
"82",82,2019-03-23,60.62,21
"83",83,2019-03-24,57.25,21
"84",84,2019-03-25,56.97,21
"85",85,2019-03-26,56.16,21
"86",86,2019-03-27,47.45,21
"87",87,2019-03-28,45.89,21
"88",88,2019-03-29,44.94,21
"89",89,2019-03-30,43.2,21
"90",90,2019-03-31,42.35,21
"91",91,2019-04-01,42.17,21
"92",92,2019-04-02,46.55,21
"93",93,2019-04-03,52.7,21
"94",94,2019-04-04,47.54,21
"95",95,2019-04-05,41.93,21
"96",96,2019-04-06,39.63,21
"97",97,2019-04-07,39.18,21
"98",98,2019-04-08,39.25,21
"99",99,2019-04-09,45.96,21
"100",100,2019-04-10,45.78,21
"101",101,2019-04-11,38.05,21
"102",102,2019-04-12,35.17,21
"103",103,2019-04-13,34.48,21
"104",104,2019-04-14,34.52,21
"105",105,2019-04-15,33.87,21
"106",106,2019-04-16,33.45,21
"107",107,2019-04-17,32.96,21
"108",108,2019-04-18,31.91,21
"109",109,2019-04-19,31.04,21
"110",110,2019-04-20,30.63,21
"111",111,2019-04-21,30.07,21
"112",112,2019-04-22,30.15,21
"113",113,2019-04-23,31,21
"114",114,2019-04-24,32.88,21
"115",115,2019-04-25,37.31,21
"116",116,2019-04-26,33.49,21
"117",117,2019-04-27,32.77,21
"118",118,2019-04-28,35.75,21
"119",119,2019-04-29,33.18,21
"120",120,2019-04-30,30.21,21
"121",121,2019-05-01,30.42,21
"122",122,2019-05-02,33.02,21
"123",123,2019-05-03,36.12,21
"124",124,2019-05-04,50.46,21
"125",125,2019-05-05,45.64,21
"126",126,2019-05-06,34.55,21
"127",127,2019-05-07,32.63,21
"128",128,2019-05-08,33.39,21
"129",129,2019-05-09,39.58,21
"130",130,2019-05-10,47.44,21
"131",131,2019-05-11,42.05,21
"132",132,2019-05-12,33.43,21
"133",133,2019-05-13,30.22,21
"134",134,2019-05-14,29.45,21
"135",135,2019-05-15,28.27,21
"136",136,2019-05-16,28.03,21
"137",137,2019-05-17,27.89,21
"138",138,2019-05-18,28.68,21
"139",139,2019-05-19,34.27,21
"140",140,2019-05-20,43.27,21
"141",141,2019-05-21,34.84,21
"142",142,2019-05-22,30.64,21
"143",143,2019-05-23,29.82,21
"144",144,2019-05-24,29.17,21
"145",145,2019-05-25,30.1,21
"146",146,2019-05-26,32.93,41
"147",147,2019-05-27,32.82,21
"148",148,2019-05-28,41.47,21
"149",149,2019-05-29,36.85,21
"150",150,2019-05-30,28.32,21
"151",151,2019-05-31,26.03,21
"152",152,2019-06-01,26.24,21
"153",153,2019-06-02,26.89,21
"154",154,2019-06-03,27.08,21
"155",155,2019-06-04,28.57,21
"156",156,2019-06-05,43.56,21
"157",157,2019-06-06,77.87,21
"158",158,2019-06-07,54.81,21
"159",159,2019-06-08,37.23,21
"160",160,2019-06-09,33.71,21
"161",161,2019-06-10,35.02,21
"162",162,2019-06-11,52.86,21
"163",163,2019-06-12,67.82,21
"164",164,2019-06-13,75.2,21
"165",165,2019-06-14,68.58,21
"166",166,2019-06-15,77.53,21
"167",167,2019-06-16,56.98,21
"168",168,2019-06-17,41.6,21
"169",169,2019-06-18,36.34,21
"170",170,2019-06-19,39.12,21
"171",171,2019-06-20,45.4,21
"172",172,2019-06-21,37.73,21
"173",173,2019-06-22,32.32,21
"174",174,2019-06-23,30.02,21
"175",175,2019-06-24,28.65,21
"176",176,2019-06-25,27.88,21
"177",177,2019-06-26,26.29,21
"178",178,2019-06-27,25.32,21
"179",179,2019-06-28,24.16,21
"180",180,2019-06-29,23.18,21
"181",181,2019-06-30,23.62,21
"182",182,2019-07-01,23.15,21
"183",183,2019-07-02,22.96,21
"184",184,2019-07-03,21.52,21
"185",185,2019-07-04,21.04,21
"186",186,2019-07-05,21.92,21
"187",187,2019-07-06,21.42,21
"188",188,2019-07-07,21.63,21
"189",189,2019-07-08,21.44,21
"190",190,2019-07-09,21.52,41
"191",191,2019-07-10,21.76,41
"192",192,2019-07-11,21.48,21
"193",193,2019-07-12,28.03,21
"194",194,2019-07-13,26.95,21
"195",195,2019-07-14,25.03,21
"196",196,2019-07-15,22.87,21
"197",197,2019-07-16,21.73,21
"198",198,2019-07-17,21.86,21
"199",199,2019-07-18,20.83,21
"200",200,2019-07-19,20.58,21
"201",201,2019-07-20,26.23,21
"202",202,2019-07-21,24.89,21
"203",203,2019-07-22,21.32,21
"204",204,2019-07-23,19.14,21
"205",205,2019-07-24,19.31,21
"206",206,2019-07-25,19.06,21
"207",207,2019-07-26,21.62,21
"208",208,2019-07-27,58.37,21
"209",209,2019-07-28,62.21,21
"210",210,2019-07-29,51.84,21
"211",211,2019-07-30,29.57,21
"212",212,2019-07-31,23.77,21
"213",213,2019-08-01,21.61,21
"214",214,2019-08-02,24.04,21
"215",215,2019-08-03,27.15,21
"216",216,2019-08-04,23.36,21
"217",217,2019-08-05,20.57,21
"218",218,2019-08-06,20.33,21
"219",219,2019-08-07,20.1,21
"220",220,2019-08-08,20.11,21
"221",221,2019-08-09,21.24,21
"222",222,2019-08-10,20.36,21
"223",223,2019-08-11,19.38,21
"224",224,2019-08-12,22.75,21
"225",225,2019-08-13,31.83,21
"226",226,2019-08-14,28.39,21
"227",227,2019-08-15,28.94,21
"228",228,2019-08-16,24.24,21
"229",229,2019-08-17,24.27,21
"230",230,2019-08-18,40.04,21
"231",231,2019-08-19,52.82,21
"232",232,2019-08-20,30.66,21
"233",233,2019-08-21,23.82,21
"234",234,2019-08-22,21.55,21
"235",235,2019-08-23,21.1,41
"236",236,2019-08-24,20.59,41
"237",237,2019-08-25,20.25,41
"238",238,2019-08-26,19.96,41
"239",239,2019-08-27,19.9,41
"240",240,2019-08-28,23.19,41
"241",241,2019-08-29,28.78,41
"242",242,2019-08-30,23.43,41
"243",243,2019-08-31,21.41,41
"244",244,2019-09-01,20.39,41
"245",245,2019-09-02,19.49,41
"246",246,2019-09-03,19.6,41
"247",247,2019-09-04,21.54,41
"248",248,2019-09-05,20.78,41
"249",249,2019-09-06,21.15,41
"250",250,2019-09-07,21.09,41
"251",251,2019-09-08,21.04,41
"252",252,2019-09-09,20.13,41
"253",253,2019-09-10,19.65,41
"254",254,2019-09-11,19.31,41
"255",255,2019-09-12,19.55,41
"256",256,2019-09-13,19.53,41
"257",257,2019-09-14,18.51,41
"258",258,2019-09-15,19.18,41
"259",259,2019-09-16,19.76,41
"260",260,2019-09-17,18.51,41
"261",261,2019-09-18,19.08,41
"262",262,2019-09-19,19.1,41
"263",263,2019-09-20,18.35,41
"264",264,2019-09-21,18.21,41
"265",265,2019-09-22,19.49,41
"266",266,2019-09-23,22.21,41
"267",267,2019-09-24,27.93,41
"268",268,2019-09-25,30.72,41
"269",269,2019-09-26,31.1,41
"270",270,2019-09-27,32.55,41
"271",271,2019-09-28,34.53,41
"272",272,2019-09-29,42.37,41
"273",273,2019-09-30,49.45,41
"274",274,2019-10-01,57.9,41
"275",275,2019-10-02,71.04,21
"276",276,2019-10-03,49.15,21
"277",277,2019-10-04,37.83,21
"278",278,2019-10-05,37.46,21
"279",279,2019-10-06,39.34,21
"280",280,2019-10-07,48.98,21
"281",281,2019-10-08,46.67,21
"282",282,2019-10-09,45.57,21
"283",283,2019-10-10,35.77,21
"284",284,2019-10-11,30.52,21
"285",285,2019-10-12,27.98,21
"286",286,2019-10-13,27.45,21
"287",287,2019-10-14,27.49,21
"288",288,2019-10-15,27.12,21
"289",289,2019-10-16,35.32,21
"290",290,2019-10-17,45.42,21
"291",291,2019-10-18,43.78,21
"292",292,2019-10-19,39.44,21
"293",293,2019-10-20,36.5,21
"294",294,2019-10-21,49.62,21
"295",295,2019-10-22,37.97,21
"296",296,2019-10-23,33.09,21
"297",297,2019-10-24,30.39,21
"298",298,2019-10-25,29.64,21
"299",299,2019-10-26,29.32,21
"300",300,2019-10-27,36.8,21
"301",301,2019-10-28,32.63,21
"302",302,2019-10-29,29.35,21
"303",303,2019-10-30,28.39,21
"304",304,2019-10-31,27.89,21
"305",305,2019-11-01,32.85,21
"306",306,2019-11-02,45.13,21
"307",307,2019-11-03,45.48,21
"308",308,2019-11-04,45.49,21
"309",309,2019-11-05,40.14,21
"310",310,2019-11-06,36.87,21
"311",311,2019-11-07,42.77,21
"312",312,2019-11-08,41.83,21
"313",313,2019-11-09,35.36,21
"314",314,2019-11-10,34.22,21
"315",315,2019-11-11,36.53,21
"316",316,2019-11-12,36.21,21
"317",317,2019-11-13,35.74,21
"318",318,2019-11-14,35.53,21
"319",319,2019-11-15,32.88,21
"320",320,2019-11-16,31.63,21
"321",321,2019-11-17,31.73,21
"322",322,2019-11-18,35.33,21
"323",323,2019-11-19,47.36,21
"324",324,2019-11-20,40.26,21
"325",325,2019-11-21,34.62,21
"326",326,2019-11-22,33.06,21
"327",327,2019-11-23,32.83,21
"328",328,2019-11-24,32.15,21
"329",329,2019-11-25,31.3,21
"330",330,2019-11-26,33.13,21
"331",331,2019-11-27,46.78,21
"332",332,2019-11-28,55.27,21
"333",333,2019-11-29,62.49,21
"334",334,2019-11-30,49.82,21
"335",335,2019-12-01,40.43,21
"336",336,2019-12-02,36.72,21
"337",337,2019-12-03,36.23,21
"338",338,2019-12-04,35.27,21
"339",339,2019-12-05,36.06,21
"340",340,2019-12-06,44.24,21
"341",341,2019-12-07,48.95,21
"342",342,2019-12-08,52.59,21
"343",343,2019-12-09,68.22,21
"344",344,2019-12-10,66.92,21
"345",345,2019-12-11,57.2,21
"346",346,2019-12-12,56.54,21
"347",347,2019-12-13,74.25,21
"348",348,2019-12-14,94.93,21
"349",349,2019-12-15,85.4,21
"350",350,2019-12-16,70.59,21
"351",351,2019-12-17,58.17,21
"352",352,2019-12-18,59.08,21
"353",353,2019-12-19,54.34,21
"354",354,2019-12-20,50.35,21
"355",355,2019-12-21,52.9,21
"356",356,2019-12-22,79.6,21
"357",357,2019-12-23,84.16,21
"358",358,2019-12-24,66.89,21
"359",359,2019-12-25,61.61,21
"360",360,2019-12-26,62.29,21
"361",361,2019-12-27,67.61,21
"362",362,2019-12-28,57.92,21
"363",363,2019-12-29,49.88,21
"364",364,2019-12-30,46.38,21
"365",365,2019-12-31,44.66,21
"366",366,2020-01-01,43.28,41
"367",367,2020-01-02,42.33,21
"368",368,2020-01-03,46.13,21
"369",369,2020-01-04,47.51,21
"370",370,2020-01-05,43.06,21
"371",371,2020-01-06,42.5,21
"372",372,2020-01-07,44.34,21
"373",373,2020-01-08,46.35,21
"374",374,2020-01-09,63.77,21
"375",375,2020-01-10,76.75,21
"376",376,2020-01-11,72.61,21
"377",377,2020-01-12,55.74,21
"378",378,2020-01-13,52.42,21
"379",379,2020-01-14,52.68,21
"380",380,2020-01-15,50.19,21
"381",381,2020-01-16,47.7,21
"382",382,2020-01-17,44.43,21
"383",383,2020-01-18,43.45,21
"384",384,2020-01-19,41.6,21
"385",385,2020-01-20,39.57,21
"386",386,2020-01-21,39.34,21
"387",387,2020-01-22,38.53,21
"388",388,2020-01-23,38.8,21
"389",389,2020-01-24,39.02,21
"390",390,2020-01-25,37.6,21
"391",391,2020-01-26,38.78,21
"392",392,2020-01-27,50.07,21
"393",393,2020-01-28,65.6,21
"394",394,2020-01-29,60.99,21
"395",395,2020-01-30,50.86,21
"396",396,2020-01-31,56.43,21
"397",397,2020-02-01,88.61,21
"398",398,2020-02-02,119.62,21
"399",399,2020-02-03,109.42,21
"400",400,2020-02-04,129.81,21
"401",401,2020-02-05,113.54,21
"402",402,2020-02-06,85.66,21
"403",403,2020-02-07,67.92,21
"404",404,2020-02-08,61.96,21
"405",405,2020-02-09,81.37,21
"406",406,2020-02-10,110.84,21
"407",407,2020-02-11,89.36,21
"408",408,2020-02-12,70.36,21
"409",409,2020-02-13,75.69,21
"410",410,2020-02-14,74.14,21
"411",411,2020-02-15,62.7,21
"412",412,2020-02-16,79.44,21
"413",413,2020-02-17,105.65,21
"414",414,2020-02-18,91.74,21
"415",415,2020-02-19,84.22,21
"416",416,2020-02-20,83.21,21
"417",417,2020-02-21,87.91,21
"418",418,2020-02-22,81.27,21
"419",419,2020-02-23,97.26,21
"420",420,2020-02-24,104.46,21
"421",421,2020-02-25,118.95,21
"422",422,2020-02-26,147.9,21
"423",423,2020-02-27,169.69,21
"424",424,2020-02-28,174.26,21
"425",425,2020-02-29,159.02,21
"426",426,2020-03-01,137.56,21
"427",427,2020-03-02,123.5,21
"428",428,2020-03-03,117.86,41
"429",429,2020-03-04,113.52,41
"430",430,2020-03-05,140.78,21
"431",431,2020-03-06,181.83,21
"432",432,2020-03-07,159.93,21
"433",433,2020-03-08,140.62,21
"434",434,2020-03-09,145.25,21
"435",435,2020-03-10,192.3,21
"436",436,2020-03-11,229.06,21
"437",437,2020-03-12,206.51,21
"438",438,2020-03-13,166.63,21
"439",439,2020-03-14,143.54,21
"440",440,2020-03-15,128.74,21
"441",441,2020-03-16,112.22,21
"442",442,2020-03-17,98.93,21
"443",443,2020-03-18,88.93,21
"444",444,2020-03-19,81.62,21
"445",445,2020-03-20,75.45,21
"446",446,2020-03-21,71.44,21
"447",447,2020-03-22,63.18,21
"448",448,2020-03-23,56.37,21
"449",449,2020-03-24,51.67,21
"450",450,2020-03-25,48.77,21
"451",451,2020-03-26,47.69,21
"452",452,2020-03-27,45.39,21
"453",453,2020-03-28,43.79,21
"454",454,2020-03-29,42.72,21
"455",455,2020-03-30,40.82,21
"456",456,2020-03-31,40.35,21
"457",457,2020-04-01,39.76,21
"458",458,2020-04-02,40.39,21
"459",459,2020-04-03,39.34,21
"460",460,2020-04-04,38.87,21
"461",461,2020-04-05,38.61,21
"462",462,2020-04-06,37.3,21
"463",463,2020-04-07,37.06,21
"464",464,2020-04-08,36.17,21
"465",465,2020-04-09,35.21,21
"466",466,2020-04-10,35.19,21
"467",467,2020-04-11,35.1,21
"468",468,2020-04-12,35.17,21
"469",469,2020-04-13,33.42,21
"470",470,2020-04-14,33.69,21
"471",471,2020-04-15,31.85,21
"472",472,2020-04-16,32.48,21
"473",473,2020-04-17,32.88,21
"474",474,2020-04-18,36.19,21
"475",475,2020-04-19,34.31,21
"476",476,2020-04-20,31.89,21
"477",477,2020-04-21,30.68,21
"478",478,2020-04-22,29.94,21
"479",479,2020-04-23,29.17,21
"480",480,2020-04-24,29.09,21
"481",481,2020-04-25,28.93,21
"482",482,2020-04-26,28.96,21
"483",483,2020-04-27,28.92,21
"484",484,2020-04-28,34.5,21
"485",485,2020-04-29,37.14,21
"486",486,2020-04-30,36.52,21
"487",487,2020-05-01,40.15,21
"488",488,2020-05-02,41.09,21
"489",489,2020-05-03,35.65,21
"490",490,2020-05-04,31.24,21
"491",491,2020-05-05,29.77,21
"492",492,2020-05-06,28.55,21
"493",493,2020-05-07,27.41,21
"494",494,2020-05-08,26.97,21
"495",495,2020-05-09,26.68,21
"496",496,2020-05-10,26.75,21
"497",497,2020-05-11,26.2,21
"498",498,2020-05-12,25.46,21
"499",499,2020-05-13,24.86,21
"500",500,2020-05-14,25.1,21
"501",501,2020-05-15,24.31,21
"502",502,2020-05-16,24.67,21
"503",503,2020-05-17,23.73,21
"504",504,2020-05-18,23.71,21
"505",505,2020-05-19,23.46,21
"506",506,2020-05-20,22.79,21
"507",507,2020-05-21,22.54,21
"508",508,2020-05-22,22.7,21
"509",509,2020-05-23,22.42,21
"510",510,2020-05-24,22.75,21
"511",511,2020-05-25,22.12,21
"512",512,2020-05-26,21.68,41
"513",513,2020-05-27,21.46,41
"514",514,2020-05-28,21.26,41
"515",515,2020-05-29,21.67,41
"516",516,2020-05-30,21.44,41
"517",517,2020-05-31,20.78,41
"518",518,2020-06-01,20.95,41
"519",519,2020-06-02,21.14,41
"520",520,2020-06-03,21.38,41
"521",521,2020-06-04,23.01,41
"522",522,2020-06-05,30.31,41
"523",523,2020-06-06,35.48,41
"524",524,2020-06-07,30.94,41
"525",525,2020-06-08,29.57,41
"526",526,2020-06-09,34.86,21
"527",527,2020-06-10,27.12,21
"528",528,2020-06-11,26.67,21
"529",529,2020-06-12,29.08,21
"530",530,2020-06-13,39.76,21
"531",531,2020-06-14,32.8,21
"532",532,2020-06-15,25.67,21
"533",533,2020-06-16,27.11,21
"534",534,2020-06-17,37.32,21
"535",535,2020-06-18,60.46,21
"536",536,2020-06-19,36.16,21
"537",537,2020-06-20,27.16,21
"538",538,2020-06-21,25.11,21
"539",539,2020-06-22,32.98,21
"540",540,2020-06-23,26.11,21
"541",541,2020-06-24,22.53,21
"542",542,2020-06-25,21.23,21
"543",543,2020-06-26,21.93,21
"544",544,2020-06-27,21.45,21
"545",545,2020-06-28,20.4,21
"546",546,2020-06-29,19.86,21
"547",547,2020-06-30,24.23,21
"548",548,2020-07-01,58.94,21
"549",549,2020-07-02,37.85,21
"550",550,2020-07-03,27.55,21
"551",551,2020-07-04,23.78,21
"552",552,2020-07-05,22.87,21
"553",553,2020-07-06,23.12,21
"554",554,2020-07-07,23.29,21
"555",555,2020-07-08,28.96,21
"556",556,2020-07-09,32.9,21
"557",557,2020-07-10,28.51,21
"558",558,2020-07-11,24.56,21
"559",559,2020-07-12,22.22,21
"560",560,2020-07-13,21.51,21
"561",561,2020-07-14,23.21,21
"562",562,2020-07-15,23.58,21
"563",563,2020-07-16,24.66,21
"564",564,2020-07-17,23.62,21
"565",565,2020-07-18,22.36,21
"566",566,2020-07-19,21.71,21
"567",567,2020-07-20,21.76,21
"568",568,2020-07-21,20.49,21
"569",569,2020-07-22,19.95,21
"570",570,2020-07-23,19.8,21
"571",571,2020-07-24,19.9,21
"572",572,2020-07-25,20.24,21
"573",573,2020-07-26,22.66,21
"574",574,2020-07-27,23.25,21
"575",575,2020-07-28,20.19,21
"576",576,2020-07-29,19.17,21
"577",577,2020-07-30,18.31,21
"578",578,2020-07-31,18.28,21
"579",579,2020-08-01,18.01,21
"580",580,2020-08-02,17.8,21
"581",581,2020-08-03,17.72,21
"582",582,2020-08-04,17.59,21
"583",583,2020-08-05,17.59,21
"584",584,2020-08-06,16.63,21
"585",585,2020-08-07,17.11,21
"586",586,2020-08-08,16.85,21
"587",587,2020-08-09,18.49,21
"588",588,2020-08-10,19.19,21
"589",589,2020-08-11,17.81,21
"590",590,2020-08-12,22.41,21
"591",591,2020-08-13,27.67,21
"592",592,2020-08-14,33.77,21
"593",593,2020-08-15,33.69,21
"594",594,2020-08-16,33.83,21
"595",595,2020-08-17,29.4,21
"596",596,2020-08-18,23.21,21
"597",597,2020-08-19,24.66,21
"598",598,2020-08-20,24.4,21
"599",599,2020-08-21,21.8,21
"600",600,2020-08-22,21.01,21
"601",601,2020-08-23,20.02,21
"602",602,2020-08-24,24.07,21
"603",603,2020-08-25,26.3,21
"604",604,2020-08-26,20.06,21
"605",605,2020-08-27,21.02,21
"606",606,2020-08-28,23.14,21
"607",607,2020-08-29,22.57,21
"608",608,2020-08-30,27.47,21
"609",609,2020-08-31,29.31,21
"610",610,2020-09-01,27.48,21
"611",611,2020-09-02,22.72,21
"612",612,2020-09-03,21.03,21
"613",613,2020-09-04,21.25,21
"614",614,2020-09-05,23.9,21
"615",615,2020-09-06,25.58,21
"616",616,2020-09-07,21.77,21
