"","...1","Timestamp","Value","Quality Code"
"1",1,2019-01-01,66.95,41
"2",2,2019-01-02,75.66,21
"3",3,2019-01-03,63.38,21
"4",4,2019-01-04,60.22,21
"5",5,2019-01-05,65.42,21
"6",6,2019-01-06,67.06,21
"7",7,2019-01-07,73.09,21
"8",8,2019-01-08,66.41,21
"9",9,2019-01-09,83.28,21
"10",10,2019-01-10,71.78,21
"11",11,2019-01-11,70.62,21
"12",12,2019-01-12,81.79,21
"13",13,2019-01-13,113.75,21
"14",14,2019-01-14,145.53,21
"15",15,2019-01-15,108.14,21
"16",16,2019-01-16,91.71,21
"17",17,2019-01-17,107.03,21
"18",18,2019-01-18,130.71,21
"19",19,2019-01-19,90.42,21
"20",20,2019-01-20,77.54,21
"21",21,2019-01-21,72.38,21
"22",22,2019-01-22,65.44,21
"23",23,2019-01-23,63.37,21
"24",24,2019-01-24,73.3,21
"25",25,2019-01-25,74.21,21
"26",26,2019-01-26,100.45,21
"27",27,2019-01-27,204.98,21
"28",28,2019-01-28,320.92,21
"29",29,2019-01-29,214.52,41
"30",30,2019-01-30,169.67,21
"31",31,2019-01-31,162.54,21
"32",32,2019-02-01,148.61,21
"33",33,2019-02-02,299.74,21
"34",34,2019-02-03,365.39,21
"35",35,2019-02-04,224.69,21
"36",36,2019-02-05,193.8,21
"37",37,2019-02-06,163.98,21
"38",38,2019-02-07,238.35,21
"39",39,2019-02-08,223.34,21
"40",40,2019-02-09,246.23,21
"41",41,2019-02-10,338.64,21
"42",42,2019-02-11,390.76,21
"43",43,2019-02-12,235.61,21
"44",44,2019-02-13,166.41,21
"45",45,2019-02-14,131.86,21
"46",46,2019-02-15,122.34,21
"47",47,2019-02-16,107.91,21
"48",48,2019-02-17,99.33,21
"49",49,2019-02-18,92.81,21
"50",50,2019-02-19,82.88,21
"51",51,2019-02-20,81.59,21
"52",52,2019-02-21,69.89,21
"53",53,2019-02-22,71.81,21
"54",54,2019-02-23,69.91,21
"55",55,2019-02-24,65.65,21
"56",56,2019-02-25,69.26,21
"57",57,2019-02-26,70.99,21
"58",58,2019-02-27,72.64,21
"59",59,2019-02-28,84.41,21
"60",60,2019-03-01,120.09,21
"61",61,2019-03-02,89.02,21
"62",62,2019-03-03,87.13,21
"63",63,2019-03-04,96.89,21
"64",64,2019-03-05,114.94,21
"65",65,2019-03-06,103.01,21
"66",66,2019-03-07,240.87,21
"67",67,2019-03-08,238.3,21
"68",68,2019-03-09,190.24,21
"69",69,2019-03-10,224.54,21
"70",70,2019-03-11,208.08,21
"71",71,2019-03-12,171.34,21
"72",72,2019-03-13,179.61,21
"73",73,2019-03-14,315.76,21
"74",74,2019-03-15,508.1,21
"75",75,2019-03-16,556.67,21
"76",76,2019-03-17,392.92,21
"77",77,2019-03-18,307.97,21
"78",78,2019-03-19,228.85,21
"79",79,2019-03-20,177.83,21
"80",80,2019-03-21,147.47,21
"81",81,2019-03-22,131.51,21
"82",82,2019-03-23,112.92,21
"83",83,2019-03-24,114.45,21
"84",84,2019-03-25,93.27,21
"85",85,2019-03-26,100.11,21
"86",86,2019-03-27,81.65,21
"87",87,2019-03-28,87.73,21
"88",88,2019-03-29,94.31,21
"89",89,2019-03-30,92.69,21
"90",90,2019-03-31,81.26,21
"91",91,2019-04-01,89.48,21
"92",92,2019-04-02,89.71,21
"93",93,2019-04-03,108.62,21
"94",94,2019-04-04,87.16,21
"95",95,2019-04-05,69.37,21
"96",96,2019-04-06,69.14,21
"97",97,2019-04-07,71.79,21
"98",98,2019-04-08,77.45,21
"99",99,2019-04-09,79.5,21
"100",100,2019-04-10,85.03,21
"101",101,2019-04-11,70.3,21
"102",102,2019-04-12,63.26,21
"103",103,2019-04-13,70.58,21
"104",104,2019-04-14,73.36,21
"105",105,2019-04-15,69.52,21
"106",106,2019-04-16,60.73,21
"107",107,2019-04-17,56.18,21
"108",108,2019-04-18,54.73,21
"109",109,2019-04-19,51.47,21
"110",110,2019-04-20,51.06,41
"111",111,2019-04-21,53.67,41
"112",112,2019-04-22,50.45,21
"113",113,2019-04-23,51.84,21
"114",114,2019-04-24,55.33,21
"115",115,2019-04-25,67.27,21
"116",116,2019-04-26,57.81,21
"117",117,2019-04-27,63.77,21
"118",118,2019-04-28,83.88,21
"119",119,2019-04-29,70.2,21
"120",120,2019-04-30,56.89,21
"121",121,2019-05-01,49.85,21
"122",122,2019-05-02,55.26,21
"123",123,2019-05-03,68.78,21
"124",124,2019-05-04,102.64,21
"125",125,2019-05-05,82.85,21
"126",126,2019-05-06,59.35,21
"127",127,2019-05-07,54.98,21
"128",128,2019-05-08,53.93,21
"129",129,2019-05-09,67.72,21
"130",130,2019-05-10,82.04,21
"131",131,2019-05-11,68.75,21
"132",132,2019-05-12,67.83,21
"133",133,2019-05-13,62.09,21
"134",134,2019-05-14,53.18,21
"135",135,2019-05-15,49.76,21
"136",136,2019-05-16,46.3,21
"137",137,2019-05-17,44.93,21
"138",138,2019-05-18,47.34,21
"139",139,2019-05-19,68.79,21
"140",140,2019-05-20,74.35,21
"141",141,2019-05-21,53.89,21
"142",142,2019-05-22,50.42,21
"143",143,2019-05-23,48.06,21
"144",144,2019-05-24,45.38,21
"145",145,2019-05-25,48.61,21
"146",146,2019-05-26,56.24,41
"147",147,2019-05-27,60.66,21
"148",148,2019-05-28,80.08,21
"149",149,2019-05-29,66.98,21
"150",150,2019-05-30,51.3,21
"151",151,2019-05-31,44.58,21
"152",152,2019-06-01,43.62,21
"153",153,2019-06-02,44.11,21
"154",154,2019-06-03,42.91,21
"155",155,2019-06-04,48,21
"156",156,2019-06-05,77.76,21
"157",157,2019-06-06,169.43,21
"158",158,2019-06-07,86.97,21
"159",159,2019-06-08,55.76,21
"160",160,2019-06-09,52.08,21
"161",161,2019-06-10,67.24,21
"162",162,2019-06-11,91.53,21
"163",163,2019-06-12,138.79,21
"164",164,2019-06-13,140.14,21
"165",165,2019-06-14,113.24,21
"166",166,2019-06-15,176.47,21
"167",167,2019-06-16,102.07,21
"168",168,2019-06-17,67.17,21
"169",169,2019-06-18,58.33,21
"170",170,2019-06-19,66.16,21
"171",171,2019-06-20,88.56,21
"172",172,2019-06-21,57.47,21
"173",173,2019-06-22,52.38,21
"174",174,2019-06-23,43.57,21
"175",175,2019-06-24,44.12,21
"176",176,2019-06-25,49.63,21
"177",177,2019-06-26,51.71,21
"178",178,2019-06-27,48.75,21
"179",179,2019-06-28,45.29,21
"180",180,2019-06-29,42.78,21
"181",181,2019-06-30,35.18,21
"182",182,2019-07-01,34.34,21
"183",183,2019-07-02,35.07,21
"184",184,2019-07-03,32.61,21
"185",185,2019-07-04,32.67,21
"186",186,2019-07-05,31.26,21
"187",187,2019-07-06,28.9,21
"188",188,2019-07-07,31.32,21
"189",189,2019-07-08,27.77,21
"190",190,2019-07-09,40.7,41
"191",191,2019-07-10,43.34,41
"192",192,2019-07-11,41.93,21
"193",193,2019-07-12,45.53,21
"194",194,2019-07-13,43.54,21
"195",195,2019-07-14,35.95,21
"196",196,2019-07-15,33.83,21
"197",197,2019-07-16,33.51,21
"198",198,2019-07-17,32.77,21
"199",199,2019-07-18,29.58,21
"200",200,2019-07-19,29.83,21
"201",201,2019-07-20,36.53,21
"202",202,2019-07-21,36.27,21
"203",203,2019-07-22,31.14,21
"204",204,2019-07-23,27.84,21
"205",205,2019-07-24,26.44,21
"206",206,2019-07-25,34.38,21
"207",207,2019-07-26,41.78,21
"208",208,2019-07-27,106.27,21
"209",209,2019-07-28,119.92,21
"210",210,2019-07-29,77.24,21
"211",211,2019-07-30,42.84,21
"212",212,2019-07-31,35.42,21
"213",213,2019-08-01,30.64,21
"214",214,2019-08-02,32.46,21
"215",215,2019-08-03,37.15,21
"216",216,2019-08-04,32.3,21
"217",217,2019-08-05,28.29,21
"218",218,2019-08-06,24.8,21
"219",219,2019-08-07,27.92,21
"220",220,2019-08-08,37.57,21
"221",221,2019-08-09,45.14,21
"222",222,2019-08-10,35.34,21
"223",223,2019-08-11,35.88,21
