"","...1","Timestamp","Value","Quality Code"
"1",1,2019-03-26 11:45:00,5,71
"2",2,2019-03-26 11:50:00,4.96,71
"3",3,2019-03-26 11:55:00,4.9,71
"4",4,2019-03-26 12:00:00,4.77,71
"5",5,2019-03-26 12:05:00,4.75,71
"6",6,2019-03-26 12:10:00,4.71,71
"7",7,2019-03-26 12:15:00,4.75,71
"8",8,2019-03-26 12:20:00,4.62,71
"9",9,2019-03-26 12:25:00,4.48,71
"10",10,2019-03-26 12:30:00,4.48,71
"11",11,2019-03-26 12:35:00,4.47,71
"12",12,2019-03-26 12:40:00,4.3,71
"13",13,2019-03-26 12:45:00,4.29,71
"14",14,2019-03-26 12:50:00,4.2,71
"15",15,2019-03-26 12:55:00,4.17,71
"16",16,2019-03-26 13:00:00,4.13,71
"17",17,2019-03-26 13:05:00,4,71
"18",18,2019-03-26 13:10:00,4.03,71
"19",19,2019-03-26 13:15:00,3.96,71
"20",20,2019-03-26 13:20:00,3.91,71
"21",21,2019-03-26 13:25:00,3.89,71
"22",22,2019-03-26 13:30:00,3.89,71
"23",23,2019-03-26 13:35:00,3.9,71
"24",24,2019-03-26 13:40:00,3.86,71
"25",25,2019-03-26 13:45:00,NA,-1
"26",26,2019-03-26 13:50:00,3.87,71
"27",27,2019-03-26 13:55:00,3.8,71
"28",28,2019-03-26 14:00:00,3.76,71
"29",29,2019-03-26 14:05:00,3.84,71
"30",30,2019-03-26 14:10:00,3.77,71
"31",31,2019-03-26 14:15:00,3.81,71
"32",32,2019-03-26 14:20:00,3.86,71
"33",33,2019-03-26 14:25:00,3.85,71
"34",34,2019-03-26 14:30:00,3.81,71
"35",35,2019-03-26 14:35:00,3.91,71
"36",36,2019-03-26 14:40:00,3.87,71
"37",37,2019-03-26 14:45:00,3.93,71
"38",38,2019-03-26 14:50:00,4.06,71
"39",39,2019-03-26 14:55:00,4.34,71
"40",40,2019-03-26 15:00:00,4.63,71
"41",41,2019-03-26 15:05:00,4.77,71
"42",42,2019-03-26 15:10:00,4.89,71
"43",43,2019-03-26 15:15:00,4.89,71
"44",44,2019-03-26 15:20:00,5,71
"45",45,2019-03-26 15:25:00,5,71
"46",46,2019-03-26 15:30:00,5.07,71
"47",47,2019-03-26 15:35:00,5.09,71
"48",48,2019-03-26 15:40:00,5.11,71
"49",49,2019-03-26 15:45:00,5.16,71
"50",50,2019-03-26 15:50:00,5.21,71
"51",51,2019-03-26 15:55:00,5.27,71
"52",52,2019-03-26 16:00:00,5.32,71
"53",53,2019-03-26 16:05:00,5.23,71
"54",54,2019-03-26 16:10:00,5.38,71
"55",55,2019-03-26 16:15:00,5.78,71
"56",56,2019-03-26 16:20:00,6.04,71
"57",57,2019-03-26 16:25:00,5.9,71
"58",58,2019-03-26 16:30:00,5.94,71
"59",59,2019-03-26 16:35:00,6.08,71
"60",60,2019-03-26 16:40:00,6.14,71
"61",61,2019-03-26 16:45:00,6.17,71
"62",62,2019-03-26 16:50:00,6.18,71
"63",63,2019-03-26 16:55:00,6.07,71
"64",64,2019-03-26 17:00:00,6.19,71
"65",65,2019-03-26 17:05:00,6.11,71
"66",66,2019-03-26 17:10:00,6.14,71
"67",67,2019-03-26 17:15:00,6.15,71
"68",68,2019-03-26 17:20:00,6.18,71
"69",69,2019-03-26 17:25:00,6.18,71
"70",70,2019-03-26 17:30:00,6.17,71
"71",71,2019-03-26 17:35:00,6.18,71
"72",72,2019-03-26 17:40:00,6.2,71
"73",73,2019-03-26 17:45:00,6.22,71
"74",74,2019-03-26 17:50:00,6.22,71
"75",75,2019-03-26 17:55:00,6.31,71
"76",76,2019-03-26 18:00:00,6.34,71
"77",77,2019-03-26 18:05:00,6.39,71
"78",78,2019-03-26 18:10:00,6.44,71
"79",79,2019-03-26 18:15:00,6.3,71
"80",80,2019-03-26 18:20:00,6.4,71
"81",81,2019-03-26 18:25:00,6.47,71
"82",82,2019-03-26 18:30:00,6.54,71
"83",83,2019-03-26 18:35:00,6.87,71
"84",84,2019-03-26 18:40:00,6.89,71
"85",85,2019-03-26 18:45:00,6.9,71
"86",86,2019-03-26 18:50:00,6.94,71
"87",87,2019-03-26 18:55:00,6.92,71
"88",88,2019-03-26 19:00:00,6.94,71
"89",89,2019-03-26 19:05:00,6.95,71
"90",90,2019-03-26 19:10:00,6.99,71
"91",91,2019-03-26 19:15:00,7.02,71
"92",92,2019-03-26 19:20:00,7.05,71
"93",93,2019-03-26 19:25:00,7.12,71
"94",94,2019-03-26 19:30:00,7.16,71
"95",95,2019-03-26 19:35:00,7.13,71
"96",96,2019-03-26 19:40:00,7.06,71
"97",97,2019-03-26 19:45:00,7.24,71
"98",98,2019-03-26 19:50:00,6.94,71
"99",99,2019-03-26 19:55:00,6.92,71
"100",100,2019-03-26 20:00:00,6.92,71
"101",101,2019-03-26 20:05:00,7.03,71
"102",102,2019-03-26 20:10:00,7.1,71
"103",103,2019-03-26 20:15:00,7.16,71
"104",104,2019-03-26 20:20:00,7.23,71
"105",105,2019-03-26 20:25:00,7.18,71
"106",106,2019-03-26 20:30:00,7.18,71
"107",107,2019-03-26 20:35:00,7.05,71
"108",108,2019-03-26 20:40:00,6.91,71
"109",109,2019-03-26 20:45:00,6.91,71
"110",110,2019-03-26 20:50:00,7.01,71
"111",111,2019-03-26 20:55:00,7.01,71
"112",112,2019-03-26 21:00:00,6.97,71
"113",113,2019-03-26 21:05:00,7.04,71
"114",114,2019-03-26 21:10:00,7.03,71
"115",115,2019-03-26 21:15:00,6.68,71
"116",116,2019-03-26 21:20:00,6.43,71
"117",117,2019-03-26 21:25:00,6.61,71
"118",118,2019-03-26 21:30:00,6.64,71
"119",119,2019-03-26 21:35:00,6.62,71
"120",120,2019-03-26 21:40:00,6.52,71
