"","...1","Timestamp","Value","Quality Code"
"1",1,2019-01-01,55.33,41
"2",2,2019-01-02,62.53,21
"3",3,2019-01-03,52.38,21
"4",4,2019-01-04,49.77,21
"5",5,2019-01-05,54.07,21
"6",6,2019-01-06,55.42,21
"7",7,2019-01-07,60.41,21
"8",8,2019-01-08,54.88,21
"9",9,2019-01-09,68.82,21
"10",10,2019-01-10,59.32,21
"11",11,2019-01-11,58.37,21
"12",12,2019-01-12,67.6,21
"13",13,2019-01-13,94.01,21
"14",14,2019-01-14,120.28,21
"15",15,2019-01-15,89.37,21
"16",16,2019-01-16,75.8,21
"17",17,2019-01-17,88.46,21
"18",18,2019-01-18,108.02,21
"19",19,2019-01-19,74.73,21
"20",20,2019-01-20,64.08,21
"21",21,2019-01-21,59.82,21
"22",22,2019-01-22,54.08,21
"23",23,2019-01-23,52.37,21
"24",24,2019-01-24,60.58,21
"25",25,2019-01-25,61.33,21
"26",26,2019-01-26,83.02,21
"27",27,2019-01-27,169.4,21
"28",28,2019-01-28,265.22,21
"29",29,2019-01-29,177.29,41
"30",30,2019-01-30,140.22,21
"31",31,2019-01-31,134.33,21
"32",32,2019-02-01,122.81,21
"33",33,2019-02-02,247.72,21
"34",34,2019-02-03,301.98,21
"35",35,2019-02-04,185.7,21
"36",36,2019-02-05,160.17,21
"37",37,2019-02-06,135.52,21
"38",38,2019-02-07,196.98,21
"39",39,2019-02-08,184.58,21
"40",40,2019-02-09,203.5,21
"41",41,2019-02-10,279.87,21
"42",42,2019-02-11,322.94,21
"43",43,2019-02-12,194.72,21
"44",44,2019-02-13,137.53,21
"45",45,2019-02-14,108.97,21
"46",46,2019-02-15,101.11,21
"47",47,2019-02-16,89.19,21
"48",48,2019-02-17,82.09,21
"49",49,2019-02-18,76.71,21
"50",50,2019-02-19,68.5,21
"51",51,2019-02-20,67.43,21
"52",52,2019-02-21,57.76,21
"53",53,2019-02-22,59.35,21
"54",54,2019-02-23,57.78,21
"55",55,2019-02-24,54.25,21
"56",56,2019-02-25,57.24,21
"57",57,2019-02-26,58.67,21
"58",58,2019-02-27,60.03,21
"59",59,2019-02-28,69.76,21
"60",60,2019-03-01,99.25,21
"61",61,2019-03-02,73.57,21
"62",62,2019-03-03,72.01,21
"63",63,2019-03-04,80.07,21
"64",64,2019-03-05,94.99,21
"65",65,2019-03-06,85.13,21
"66",66,2019-03-07,199.07,21
"67",67,2019-03-08,196.94,21
"68",68,2019-03-09,157.22,21
"69",69,2019-03-10,185.57,21
"70",70,2019-03-11,171.97,21
"71",71,2019-03-12,141.6,21
"72",72,2019-03-13,148.44,21
"73",73,2019-03-14,260.96,21
"74",74,2019-03-15,419.92,21
"75",75,2019-03-16,460.05,21
"76",76,2019-03-17,324.72,21
"77",77,2019-03-18,254.52,21
"78",78,2019-03-19,189.13,21
"79",79,2019-03-20,146.97,21
"80",80,2019-03-21,121.87,21
"81",81,2019-03-22,108.69,21
"82",82,2019-03-23,93.32,21
"83",83,2019-03-24,94.58,21
"84",84,2019-03-25,77.08,21
"85",85,2019-03-26,82.73,21
"86",86,2019-03-27,67.48,21
"87",87,2019-03-28,72.5,21
"88",88,2019-03-29,77.94,21
"89",89,2019-03-30,76.61,21
"90",90,2019-03-31,67.16,21
"91",91,2019-04-01,73.95,21
"92",92,2019-04-02,74.14,21
"93",93,2019-04-03,89.76,21
"94",94,2019-04-04,72.03,21
"95",95,2019-04-05,57.33,21
"96",96,2019-04-06,57.14,21
"97",97,2019-04-07,59.33,21
"98",98,2019-04-08,64.01,21
"99",99,2019-04-09,65.7,21
"100",100,2019-04-10,70.28,21
"101",101,2019-04-11,58.1,21
"102",102,2019-04-12,52.28,21
"103",103,2019-04-13,58.33,21
"104",104,2019-04-14,60.63,21
"105",105,2019-04-15,57.45,21
"106",106,2019-04-16,50.19,21
"107",107,2019-04-17,46.43,21
"108",108,2019-04-18,45.23,21
"109",109,2019-04-19,42.54,21
"110",110,2019-04-20,42.19,41
"111",111,2019-04-21,44.35,41
"112",112,2019-04-22,41.69,21
"113",113,2019-04-23,42.85,21
"114",114,2019-04-24,45.72,21
"115",115,2019-04-25,55.6,21
"116",116,2019-04-26,47.77,21
"117",117,2019-04-27,52.7,21
"118",118,2019-04-28,69.32,21
"119",119,2019-04-29,58.02,21
"120",120,2019-04-30,47.02,21
"121",121,2019-05-01,41.2,21
"122",122,2019-05-02,45.67,21
"123",123,2019-05-03,56.85,21
"124",124,2019-05-04,84.83,21
"125",125,2019-05-05,68.47,21
"126",126,2019-05-06,49.05,21
"127",127,2019-05-07,45.44,21
"128",128,2019-05-08,44.57,21
"129",129,2019-05-09,55.97,21
"130",130,2019-05-10,67.8,21
"131",131,2019-05-11,56.82,21
"132",132,2019-05-12,56.06,21
"133",133,2019-05-13,51.31,21
"134",134,2019-05-14,43.95,21
"135",135,2019-05-15,41.13,21
"136",136,2019-05-16,38.26,21
"137",137,2019-05-17,37.13,21
"138",138,2019-05-18,39.13,21
"139",139,2019-05-19,56.85,21
"140",140,2019-05-20,61.45,21
"141",141,2019-05-21,44.54,21
"142",142,2019-05-22,41.67,21
"143",143,2019-05-23,39.72,21
"144",144,2019-05-24,37.5,21
"145",145,2019-05-25,40.17,21
"146",146,2019-05-26,46.48,41
"147",147,2019-05-27,50.13,21
"148",148,2019-05-28,66.18,21
"149",149,2019-05-29,55.36,21
"150",150,2019-05-30,42.4,21
"151",151,2019-05-31,36.85,21
"152",152,2019-06-01,36.05,21
"153",153,2019-06-02,36.46,21
"154",154,2019-06-03,35.47,21
"155",155,2019-06-04,39.67,21
"156",156,2019-06-05,64.27,21
"157",157,2019-06-06,140.03,21
"158",158,2019-06-07,71.88,21
"159",159,2019-06-08,46.08,21
"160",160,2019-06-09,43.04,21
"161",161,2019-06-10,55.57,21
"162",162,2019-06-11,75.64,21
"163",163,2019-06-12,114.7,21
"164",164,2019-06-13,115.82,21
"165",165,2019-06-14,93.59,21
"166",166,2019-06-15,145.84,21
"167",167,2019-06-16,84.35,21
"168",168,2019-06-17,55.52,21
"169",169,2019-06-18,48.2,21
"170",170,2019-06-19,54.67,21
"171",171,2019-06-20,73.19,21
"172",172,2019-06-21,47.49,21
"173",173,2019-06-22,43.29,21
"174",174,2019-06-23,36.01,21
"175",175,2019-06-24,36.46,21
"176",176,2019-06-25,41.02,21
"177",177,2019-06-26,42.73,21
"178",178,2019-06-27,40.29,21
"179",179,2019-06-28,37.43,21
"180",180,2019-06-29,35.35,21
"181",181,2019-06-30,29.07,21
"182",182,2019-07-01,28.38,21
"183",183,2019-07-02,28.98,21
"184",184,2019-07-03,26.95,21
"185",185,2019-07-04,27,21
"186",186,2019-07-05,25.84,21
"187",187,2019-07-06,23.88,21
"188",188,2019-07-07,25.88,21
"189",189,2019-07-08,22.95,21
"190",190,2019-07-09,33.64,41
"191",191,2019-07-10,35.81,41
"192",192,2019-07-11,34.65,21
"193",193,2019-07-12,37.62,21
"194",194,2019-07-13,35.98,21
"195",195,2019-07-14,29.71,21
"196",196,2019-07-15,27.96,21
"197",197,2019-07-16,27.69,21
"198",198,2019-07-17,27.08,21
"199",199,2019-07-18,24.45,21
"200",200,2019-07-19,24.65,21
"201",201,2019-07-20,30.19,21
"202",202,2019-07-21,29.98,21
"203",203,2019-07-22,25.74,21
"204",204,2019-07-23,23.01,21
"205",205,2019-07-24,21.85,21
"206",206,2019-07-25,28.41,21
"207",207,2019-07-26,34.53,21
"208",208,2019-07-27,87.83,21
"209",209,2019-07-28,99.11,21
"210",210,2019-07-29,63.83,21
"211",211,2019-07-30,35.41,21
"212",212,2019-07-31,29.28,21
"213",213,2019-08-01,25.32,21
"214",214,2019-08-02,26.82,21
"215",215,2019-08-03,30.7,21
"216",216,2019-08-04,26.69,21
"217",217,2019-08-05,23.38,21
"218",218,2019-08-06,20.49,21
"219",219,2019-08-07,23.08,21
"220",220,2019-08-08,31.05,21
"221",221,2019-08-09,37.3,21
"222",222,2019-08-10,29.21,21
"223",223,2019-08-11,29.65,21
"224",224,2019-08-12,28.19,21
"225",225,2019-08-13,42.06,21
"226",226,2019-08-14,35.73,21
"227",227,2019-08-15,33.44,21
"228",228,2019-08-16,30.83,21
"229",229,2019-08-17,29.04,21
"230",230,2019-08-18,56.73,21
"231",231,2019-08-19,65.52,21
"232",232,2019-08-20,36.07,21
"233",233,2019-08-21,31.27,21
"234",234,2019-08-22,24.3,21
