"","acoustic_project_code","station_name","deploy_latitude","deploy_longitude"
"1","2013_Maas","ak-1",50.614739,5.579158
"2","2013_Maas","ak-3",50.62285,5.580676
"3","2013_Maas","ak-4",50.637293,5.580214
"4","2013_Maas","ak-5",50.627465,5.573548
"5","2013_Maas","ak-6",50.633529,5.576963
"6","2013_Maas","ak-7",50.636918,5.585103
"7","2013_Maas","ak-8",50.648447,5.603056
"8","2013_Maas","ak-9",50.650369,5.611382
"9","2013_Maas","ak-10",50.654402,5.622823
"10","2013_Maas","ak-11",50.65697,5.626992
"11","2013_Maas","ak-12",50.657856,5.644622
"12","2013_Maas","ak-14",50.714109,5.672638
"13","2013_Maas","ma-1",50.863936,5.699716
"14","2013_Maas","ma-2",50.865472,5.697744
"15","2013_Maas","ma-3",50.959753,5.742085
"16","2013_Maas","ma-4",50.878418,5.677845
"17","2013_Maas","ma-5",50.882698,5.706716
"18","2013_Maas","ma-6",51.637577,5.996046
"19","2013_Maas","ma-7",51.637311,5.993471
"20","2013_Maas","ma-8",51.636119,5.992666
"21","2013_Maas","ma-9",51.637191,5.993428
"22","2019_Grotenete","bn-1",51.093001,4.506837
"23","2019_Grotenete","bn-2",51.117416,4.549158
"24","2019_Grotenete","bn-3",51.126391,4.571903
"25","2019_Grotenete","gn-1",51.133464,4.588822
"26","2019_Grotenete","gn-2",51.135829,4.5937
"27","2019_Grotenete","gn-3",51.130352,4.617316
"28","2019_Grotenete","gn-4",51.135075,4.664932
"29","2019_Grotenete","gn-5",51.125942,4.718199
"30","2019_Grotenete","gn-6",51.078636,4.757592
"31","2019_Grotenete","gn-7",51.061848,4.787587
"32","2019_Grotenete","gn-8",51.070653,4.851284
"33","2019_Grotenete","gn-9",51.081153,4.913762
"34","2019_Grotenete","gn-10",51.091558,4.945793
"35","2019_Grotenete","gn-11",51.09592,4.957142
"36","2019_Grotenete","gn-12",51.103738,4.985322
"37","2019_Grotenete","gn-13",51.119771,4.990306
"38","2019_Grotenete","gn-14",51.138267,4.996319
"39","2019_Grotenete","ru-1",51.082273,4.366215
"40","albert","ak-2",50.618026,5.591871
"41","albert","ak-3",50.62285,5.580676
"42","albert","ak-10",50.654402,5.622823
"43","albert","ak-11",50.65697,5.626992
"44","albert","ak-13",50.702052,5.67876
"45","albert","ak-14",50.714109,5.672638
"46","albert","ak-15",50.746608,5.689263
"47","albert","ak-16",50.75531,5.682348
"48","albert","ak-17",50.807726,5.674801
"49","albert","ak-18",50.811713,5.692692
"50","albert","ak-19",50.8608382,5.6386158
"51","albert","ak-20",50.8892706,5.6621637
"52","albert","ak-21",50.8887819,5.5749605
"53","albert","ak-22",50.9356423,5.4970086
"54","albert","ak-23",50.9357743,5.487716
"55","albert","ak-24",50.9380396,5.4373164
"56","albert","ak-25",50.9385133,5.4270421
"57","albert","ak-26",50.9406125,5.3743823
"58","albert","ak-27",50.9406792,5.3643243
"59","albert","ak-28",51.096684,5.108784
"60","albert","ak-29",51.096888,5.1133155
"61","albert","ak-30",50.097208,5.109596
"62","albert","ak-31",51.097875,5.108846
"63","albert","ak-32",51.098211,5.108959
"64","albert","ak-33",51.0985513,5.1029468
"65","albert","ak-34",51.1282853,5.1413858
