,animal_project_code,scientific_name,tag_serial_number,acoustic_tag_id,capture_date_time,capture_location,capture_latitude,capture_longitude,capture_method,release_date_time,release_location,release_latitude,release_longitude,length1_type,length1,length1_unit,length2_type,length2,length2_unit,length3_type,length3,length3_unit,length4_type,length4,length4_unit,weight,weight_unit,age,age_unit,sex,life_stage,treatment_type
1,2019_Grotenete,Anguilla anguilla,1171748,A69-1601-26502,2/10/2019 8:00,Downstream weir Maelesbroek,51.149272,5.011614,Fyke net,2/10/2019 13:00,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,658,mm,vertical eye diameter,9.8,mm,horizontal eye diameter,10.24,mm,pectoral fin length,34.42,mm,571,g,NA,NA,female,FV,NA
2,2019_Grotenete,Anguilla anguilla,1171749,A69-1601-26503,2/10/2019 8:00,Downstream weir Maelesbroek,51.149272,5.011614,Fyke net,2/10/2019 13:00,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,655,mm,vertical eye diameter,8.44,mm,horizontal eye diameter,9.82,mm,pectoral fin length,35.94,mm,513,g,NA,NA,female,FV,NA
3,2019_Grotenete,Anguilla anguilla,1171750,A69-1601-26504,2/10/2019 8:00,Downstream weir Maelesbroek,51.149272,5.011614,Fyke net,2/10/2019 13:00,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,686,mm,vertical eye diameter,9.22,mm,horizontal eye diameter,9.68,mm,pectoral fin length,34.4,mm,565,g,NA,NA,female,FV,NA
4,2019_Grotenete,Anguilla anguilla,1171751,A69-1601-26505,2/10/2019 8:00,Downstream weir Maelesbroek,51.149272,5.011614,Fyke net,2/10/2019 13:00,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,770,mm,vertical eye diameter,7.28,mm,horizontal eye diameter,7.76,mm,pectoral fin length,32.56,mm,825,g,NA,NA,female,FIII,NA
5,2019_Grotenete,Anguilla anguilla,1305787,A69-1602-11944,2/10/2019 8:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,2/10/2019 13:00,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,555,mm,vertical eye diameter,7.76,mm,horizontal eye diameter,8.46,mm,pectoral fin length,29.24,mm,362,g,NA,NA,female,FV,NA
6,2019_Grotenete,Anguilla anguilla,1305788,A69-1602-11945,2/10/2019 8:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,2/10/2019 13:00,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,423,mm,vertical eye diameter,6.52,mm,horizontal eye diameter,6.54,mm,pectoral fin length,20.72,mm,141,g,NA,NA,male,MII,NA
7,2019_Grotenete,Anguilla anguilla,1305789,A69-1602-11946,2/10/2019 8:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,2/10/2019 13:00,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,578,mm,vertical eye diameter,7.58,mm,horizontal eye diameter,8.5,mm,pectoral fin length,29.3,mm,335,g,NA,NA,female,FV,NA
8,2019_Grotenete,Anguilla anguilla,1305790,A69-1602-11947,2/10/2019 8:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,2/10/2019 13:00,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,554,mm,vertical eye diameter,7.52,mm,horizontal eye diameter,7.88,mm,pectoral fin length,22.1,mm,317,g,NA,NA,female,FIII,NA
9,2019_Grotenete,Anguilla anguilla,1305791,A69-1602-11948,2/10/2019 8:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,2/10/2019 13:00,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,559,mm,vertical eye diameter,6.76,mm,horizontal eye diameter,7.66,mm,pectoral fin length,22.72,mm,317,g,NA,NA,female,FIII,NA
10,2019_Grotenete,Anguilla anguilla,1305792,A69-1602-11949,2/10/2019 8:00,Downstream fish ladder Meerhout,51.136875,5.081571,Fyke net,2/10/2019 13:00,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,628,mm,vertical eye diameter,6.7,mm,horizontal eye diameter,7.72,mm,pectoral fin length,27.16,mm,388,g,NA,NA,female,FIII,NA
11,2019_Grotenete,Anguilla anguilla,1305793,A69-1602-11950,2/10/2019 8:00,Downstream fish ladder Meerhout,51.136875,5.081571,Fyke net,2/10/2019 13:00,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,544,mm,vertical eye diameter,8.2,mm,horizontal eye diameter,9.5,mm,pectoral fin length,29.32,mm,283,g,NA,NA,female,FV,NA
12,2019_Grotenete,Anguilla anguilla,1294154,"A69-9006-3964,A69-9006-3965",2/10/2019 8:00,Downstream weir Maelesbroek,51.149272,5.011614,Fyke net,2/10/2019 13:00,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,727,mm,vertical eye diameter,9.3,mm,horizontal eye diameter,10.5,mm,pectoral fin length,30.78,mm,722,g,NA,NA,female,FIII,NA
13,2019_Grotenete,Anguilla anguilla,1294155,"A69-9006-3966,A69-9006-3967",2/10/2019 8:00,Downstream weir Maelesbroek,51.149272,5.011614,Fyke net,2/10/2019 13:00,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,798,mm,vertical eye diameter,9.14,mm,horizontal eye diameter,11.28,mm,pectoral fin length,37.28,mm,855,g,NA,NA,female,FV,NA
