name,xcoord,ycoord,distance_to_source,resolution_unit,resolution_multiplier,type
L10_077,194447,204051,0,minutes,15,Tw_an
rup02e_SF_1066,149826,196913,62601.73428,minutes,5,Tw_an
zes28a_SF_1066,147297,203698,72906.86678,minutes,10,Tw_an
zes24a_SF_1066,147064,207267,76829.7,minutes,10,Tw_an
zes19a_SF_B_1066,150126,214116,87897.2,minutes,5,Tw_an
zes09x_SF_1066,144218,220763,100616.9768,minutes,5,Tw_an
zes01a_SF_1066,140885,226514,107553.25,minutes,10,Tw_an
L10_077,194447,204051,0,minutes,15,Q_an
gnt07a_1066,190448,198119,8702.5,minutes,15,Q_an
gnt05a_1066,179375,194717,21342.3,minutes,5,Q_an
rup00a_1066,145772,200610,69913.4,day,1,Q_an
zes29f_1066,146167,201898,70592.836,day,1,Q_an
zes00a_1066,141591,226803,107867.4256,day,1,Q_an
gnt07a_1066,190448,198119,8702.5,minutes,15,H
gnt05a_1066,179375,194717,21342.3,minutes,5,H
BS_RUP_1095,149402,197144,63071.7,minutes,5,H
zes28a_1066,147293,203698,72906.86678,minutes,10,H
zes01a_1066,140884,226513,107553.25,minutes,10,H
L10_077,194447,204051,0,minutes,15,V
gnt07a_1066,190448,198119,8702.5,minutes,15,V
gnt05a_1066,179375,194717,21342.3,minutes,5,V
BS_RUP_1095,149402,197144,63071.7,day,1,V
zes28a_1066,147293,203698,72906.86678,day,1,V
zes01a_1066,140884,226513,107553.25,day,1,V
photoperiod,,,,day,1,photoperiod
ALMC_30BO01008,,,,minutes,15,R
ALMC_30KP01011,,,,minutes,15,R
ALMC_30MA12001,,,,minutes,15,R
ALMC_30RT01007,,,,minutes,15,R
ALMC_30TE01007,,,,minutes,15,R
P03_036,,,,minutes,15,R
P04_001,,,,minutes,15,R
P04_027,,,,minutes,15,R
P07_006,,,,minutes,15,R
P07_022,,,,minutes,15,R
P08_018,,,,minutes,15,R
P08_028,,,,minutes,15,R
P08_033,,,,minutes,15,R
P09_016,,,,minutes,15,R
P09_025,,,,minutes,15,R
P09_034,,,,minutes,15,R
P09_035,,,,minutes,15,R
P10_011,,,,minutes,15,R
P10_042,,,,minutes,15,R
P11_002,,,,minutes,15,R
P11_007,,,,minutes,15,R
P11_043,,,,minutes,15,R
rup02e_SF_1066,149826,196913,62601.73428,minutes,5,S
zes09x_SF_1066,144218,220763,100616.9768,minutes,5,S
zes24a_SF_1066,147064,207267,76829.7,minutes,5,S
rup02e_SF_1066,149826,196913,62601.73428,minutes,5,turb
zes09x_SF_1066,144218,220763,100616.9768,minutes,5,turb
zes24a_SF_1066,147064,207267,76829.7,minutes,5,turb
rup02e_SF_1066,149826,196913,62601.73428,minutes,5,O
zes09x_SF_1066,144218,220763,100616.9768,minutes,5,O
zes24a_SF_1066,147064,207267,76829.7,minutes,5,O
bnt03a_1066,161304,199907,48533,,,tij
bnt07a_1066,164216,201830,44215.9,,,tij
bnt01c_1066,153901,195925,57884.3,,,tij
zes28a_1066,147293,203698,72906.86678,,,tij
zes21a_1066,152176.4,213059.53,85340.1,,,tij
zes14a_1066,145098,217570.5,95079.7768,,,tij
zes10a_1066,144227,220734,100616.9768,,,tij
zes01a_1066,140884.7,226513.5,107553.25,,,tij
