Station.name,Receiver,Start,Stop
bn-1,122351,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
bn-2,124078,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
bn-3,124063,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
gn-1,112285,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
gn-2,127721,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
gn-3,122365,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
gn-4,122353,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
gn-5,122332,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
gn-6,122333,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
gn-7,122340,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
gn-8,122348,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
gn-9,127109,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
gn-10,122324,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
gn-11,127720,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
gn-13,124066,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
gn-14,122358,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ru-1,122328,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ak-41,126195,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
me-7-2b,113524,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-DL7,136469,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-DL12,480720,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-OG10,123832,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-OGDL,123831,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-STEEN,134900,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-TRAWL,131002,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-W7,480722,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-WN2,480061,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-2C,122329,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-4,120882,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-6,120883,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-11,120874,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-12,127736,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-12A,124071,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-13,120876,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-14,115443,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-15,120878,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-15A,120886,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-16,122346,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-18,115447,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-23,115434,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-25,112370,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-25A,129566,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-25B,122349,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-A1,122343,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-A3,129710,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-A5,120884,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-borssele,546900,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-PPC,120887,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-PVTSS,120873,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-42A,127735,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-53,127737,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-53A,127731,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-55,127734,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-F42,115439,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-F53,127722,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
ws-HW6,127725,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
bn-Walem,122339,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
s-4a,122363,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
s-4b,122367,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
s-4c,122336,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
s-5,115430,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
s-6,115441,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
s-7,115442,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
s-8,112295,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
s-8a,127719,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
s-9,122319,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
s-9a,127738,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
s-10a,127716,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
s-11,127728,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
s-12,127732,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
s-STD3,134898,2019-10-02T13:00:00Z,2021-03-13T10:35:00Z
