...1,St.16,St.15,St.14,St.13,St.12,St.10,St.9,St.8,St.7,St.6,St.5,St.4,St.3,St.2,St.1,St.20,St.17,St.19,St.30,St.31,St.18,St.33,rel_grotenete1,St.27,St.28,St.29,St.34,St.26,St.25,St.32,St.11,St.23,St.22,St.21,St.24,rel_grotenete3,rel_grotenete2
St.16,0,2389.9443200896,6586.91243376835,7693.97448529044,10549.4993486042,20308.8031272686,23605.7581383814,30289.7243428139,34735.1172810679,38839.1057517721,40977.5160660513,41401.7691824748,43167.3928760361,45240.1154232121,49534.1050083432,54128.0505121788,61553.2251374489,64998.6842653258,77506.9337527606,84973.6618993158,85115.0796047901,99527.043290344,1048.50914452691,71858.3576395621,71558.3532720402,77265.5145914458,103382.663460094,73958.1378933246,75906.5713175857,99568.4676147806,15370.5781439334,83714.7281560993,86304.6511634614,89643.0870226313,81059.1335312412,99.9933810378425,241.419161315003
St.15,2389.9443200896,0,4338.37774435009,5445.43979587217,8300.9646591859,18060.2684378504,21357.2234489631,28041.1896533957,32486.5825916496,36590.5710623538,38728.981376633,39153.2344930565,40918.8581866178,42991.5807337938,47285.5703189249,51879.5158227605,59304.6904480306,62750.1495759075,75258.3990633423,82725.1272098976,82866.5449153719,97278.5086009258,3438.45346461651,69609.8229501439,69309.8185826219,75016.9799020275,101134.128770676,71709.6032039064,73658.0366281674,97319.9329253623,13122.0434545151,81466.193466681,84056.1164740431,87394.5523332131,78810.5988418229,2431.3605697233,2631.36348140461
St.14,6586.91243376835,4338.37774435009,0,1107.06205152208,3962.58691483582,13721.8906935003,17018.845704613,23702.8119090456,28148.2048472996,32252.1933180037,34390.6036322829,34814.8567487064,36580.4804422677,38653.2029894437,42947.1925745748,47541.1380784104,54966.3127036805,58411.7718315574,70920.0213189923,78386.7494655475,78528.1671710218,92940.1308565757,7635.42157829526,65271.4452057938,64971.4408382719,70678.6021576775,96795.751026326,67371.2254595563,69319.6588838173,92981.5551810123,8783.665710165,77127.815722331,79717.7387296931,83056.174588863,74472.2210974729,6628.32868340205,6828.33159508335
St.13,7693.97448529044,5445.43979587217,1107.06205152208,0,2855.52486331373,12614.8286419782,15911.783653091,22595.7498575235,27041.1427957775,31145.1312664817,33283.5415807608,33707.7946971843,35473.4183907456,37546.1409379216,41840.1305230527,46434.0760268883,53859.2506521584,57304.7097800353,69812.9592674702,77279.6874140255,77421.1051194997,91833.0688050536,8742.48362981734,64164.3831542717,63864.3787867498,69571.5401061554,95688.688974804,66264.1634080343,68212.5968322953,91874.4931294902,7676.60365864291,76020.7536708089,78610.676678171,81949.112537341,73365.1590459508,7735.39073492413,7935.39364660544
St.12,10549.4993486042,8300.9646591859,3962.58691483582,2855.52486331373,0,9817.88091006855,13114.8359211813,19798.8021256139,24244.1950638679,28348.183534572,30486.5938488512,30910.8469652747,32676.470658836,34749.193206012,39043.1827911431,43637.1282949787,51062.3029202488,54507.7620481257,67016.0115355606,74482.7396821159,74624.1573875902,89036.1210731441,11598.0084931311,61367.4354223621,61067.4310548401,66774.5923742458,92891.7412428944,63467.2156761246,65415.6491003857,89077.5453975806,4879.6559267333,73223.8059388993,75813.7289462614,79152.1648054314,70568.2113140412,10590.9155982379,10790.9185099192
St.10,20308.8031272686,18060.2684378504,13721.8906935003,12614.8286419782,9817.88091006855,0,3296.95501111277,9980.92121554535,14426.3141537993,18530.3026245035,20668.7129387827,21092.9660552061,22858.5897487674,24931.3122959434,29225.3018810745,33819.2473849101,41244.4220101802,44689.8811380571,57198.130625492,64664.8587720474,64806.2764775217,79218.2401630756,21357.3122717955,51549.5545122935,51249.5501447715,56956.7114641772,83073.8603328259,53649.334766056,55597.7681903171,79259.6644875121,4938.22498333526,63405.9250288309,65995.848036193,69334.2838953629,60750.3304039727,20350.2193769023,20550.2222885836
St.9,23605.7581383814,21357.2234489631,17018.845704613,15911.783653091,13114.8359211813,3296.95501111277,0,6683.96620443257,11129.3591426865,15233.3476133907,17371.7579276699,17796.0110440934,19561.6347376547,21634.3572848307,25928.3468699617,30522.2923737973,37947.4669990674,41392.9261269443,53901.1756143793,61367.9037609346,61509.3214664089,75921.2851519629,24654.2672829083,48252.5995011807,47952.5951336587,53659.7564530644,79776.9053217132,50352.3797549432,52300.8131792043,75962.7094763994,8235.17999444803,60108.9700177181,62698.8930250802,66037.3288842502,57453.3753928599,23647.1743880151,23847.1772996964
St.8,30289.7243428139,28041.1896533957,23702.8119090456,22595.7498575235,19798.8021256139,9980.92121554535,6683.96620443257,0,4503.97006965809,8607.95854036228,10746.3688546415,11170.6219710649,12936.2456646262,15008.9682118022,19302.9577969333,23896.9033007689,31322.0779260389,34767.5370539158,47275.7865413508,54742.5146879061,54883.9323933804,69295.8960789345,31338.2334873408,41627.2104281522,41327.2060606302,47034.3673800359,73151.5162486848,43726.9906819147,45675.4241061758,69337.320403371,14919.1461988806,53483.5809446896,56073.5039520517,59411.9398112217,50827.9863198314,30331.1405924476,30531.1435041289
St.7,34735.1172810679,32486.5825916496,28148.2048472996,27041.1427957775,24244.1950638679,14426.3141537993,11129.3591426865,4503.97006965809,0,4186.83711957727,6325.24743385645,6749.50055027991,8515.12424384122,10587.8467910172,14881.8363761483,19475.7818799839,26900.9565052539,30346.4156331307,42854.6651205657,50321.3932671211,50462.8109725954,64874.7746581495,35783.6264255948,37206.0890073672,36906.0846398452,42613.2459592509,68730.3948278998,39305.8692611297,41254.3026853908,64916.1989825861,19364.5391371346,49062.4595239045,51652.3825312667,54990.8183904367,46406.8648990464,34776.5335307016,34976.5364423829
St.6,38839.1057517721,36590.5710623538,32252.1933180037,31145.1312664817,28348.183534572,18530.3026245035,15233.3476133907,8607.95854036228,4186.83711957727,0,2138.41031427918,2562.66343070264,4328.28712426395,6401.00967143992,10694.999256571,15288.9447604066,22714.1193856767,26159.5785135535,38667.8280009884,46134.5561475438,46275.9738530181,60687.9375385722,39887.614896299,33019.2518877899,32719.2475202679,38426.4088396736,64543.5577083226,35119.0321415524,37067.4655658135,60729.3618630088,23468.5276078388,44875.6224043272,47465.5454116894,50803.9812708594,42220.0277794691,38880.5220014058,39080.5249130871
