acoustic_project_code,Station.name,Latitude,Longitude,Type,Array,Section,Standard.name,X,Y
2019_Grotenete,bn-1,51.093001,4.506837,Hydrophone,A1,River,St.1,159673.51914101033,198108.3737960644
2019_Grotenete,bn-2,51.117187,4.549158,Hydrophone,A1,River,St.2,162631.8244947276,200805.44116559625
2019_Grotenete,bn-3,51.126391,4.571903,Hydrophone,A1,River,St.3,164221.62630710803,201833.51542044804
2019_Grotenete,gn-1,51.133464,4.588822,Hydrophone,A1,River,St.4,165403.72692208918,202623.7758279927
2019_Grotenete,gn-2,51.135829,4.5937,Hydrophone,A1,River,St.5,165744.36728364494,202887.90970969107
2019_Grotenete,gn-3,51.130352,4.617316,Hydrophone,A1,River,St.6,167399.3508002599,202283.87745414674
2019_Grotenete,gn-4,51.135075,4.664932,Hydrophone,A1,River,St.7,170730.38841337297,202821.5694323685
2019_Grotenete,gn-5,51.125942,4.718199,Hydrophone,A1,River,St.8,174463.5031719191,201821.77046342287
2019_Grotenete,gn-6,51.078636,4.757592,Hydrophone,A1,River,St.9,177248.88218461417,196572.79830311332
2019_Grotenete,gn-7,51.061848,4.787587,Hydrophone,A1,River,St.10,179361.40324646205,194716.64015181735
2019_Grotenete,gn-8,51.070653,4.851284,Hydrophone,A1,River,St.11,183820.32854377275,195723.30596826412
2019_Grotenete,gn-9,51.081153,4.913762,Hydrophone,A1,River,St.12,188190.7408247083,196921.72695322242
2019_Grotenete,gn-10,51.091558,4.945793,Hydrophone,A1,River,St.13,190426.22887699766,198096.21910258196
2019_Grotenete,gn-11,51.09592,4.957142,Hydrophone,A1,River,St.14,191223.4390608474,198583.87457419187
2019_Grotenete,gn-13,51.119771,4.990306,Hydrophone,A1,River,St.15,193518.36006572607,201260.00094846636
2019_Grotenete,gn-14,51.138267,4.996319,Hydrophone,A1,River,St.16,193921.94524383647,203321.1676529348
2019_Grotenete,ru-1,51.082273,4.366215,Hydrophone,A1,River,St.17,149821.964686278,196905.8088158341
albert,ak-41,51.239128,4.397469,Hydrophone,A1,River,St.18,152005.11106238214,214356.66961811483
dijle,me-7-2b,51.1008,4.330483,Hydrophone,A1,River,St.19,147319.16319497107,198967.5893849274
zeeschelde,bn-Walem,51.07183,4.45474,Hydrophone,A1,River,St.20,156026.52261139892,195747.5825146977
zeeschelde,s-4a,51.03203,4.18166,Hydrophone,A1,River,St.21,136875.6437127248,191332.78668319155
zeeschelde,s-4b,51.05593,4.20024,Hydrophone,A1,River,St.22,138185.0023636864,193988.48612561915
zeeschelde,s-4c,51.07363,4.19007,Hydrophone,A1,River,St.23,137476.68173026113,195959.23547669686
zeeschelde,s-5,51.09258,4.17083,Hydrophone,A1,River,St.24,136133.83420852525,198070.8034861153
zeeschelde,s-6,51.12287,4.2184,Hydrophone,A1,River,St.25,139473.25002536966,201432.7731641885
zeeschelde,s-7,51.11414,4.24123,Hydrophone,A1,River,St.26,141069.96383217478,200458.58277400583
zeeschelde,s-8,51.14319,4.33078,Hydrophone,A1,River,St.27,147342.33432388862,203683.48834795412
zeeschelde,s-8a,51.14222,4.32646,Hydrophone,A1,River,St.28,147039.95329312264,203575.73511634395
zeeschelde,s-9,51.19069,4.32954,Hydrophone,A1,River,St.29,147258.2985259601,208968.01975898724
zeeschelde,s-9a,51.19068,4.33602,Hydrophone,A1,River,St.30,147711.31773526213,208966.69198438525
zeeschelde,s-10a,51.235423,4.396673,Hydrophone,A1,River,St.31,151949.67896867366,213944.4466870837
zeeschelde,s-11,51.29646,4.2857,Hydrophone,A1,River,St.32,144206.47755045726,220738.02147820592
zeeschelde,s-12,51.30305,4.28731,Hydrophone,A1,River,St.33,144319.57549168114,221471.08937919978
zeeschelde,s-STD3,51.330504,4.270161,Hydrophone,A1,River,St.34,143127.59631206872,224527.03048223536
2019_Grotenete,rel_grotenete1,51.144779,5.003906,Release,A1,River,rel_grotenete1,194446.72874087704,204050.12978941016
2019_Grotenete,rel_grotenete2,51.139997,4.997392,Release,A1,River,rel_grotenete2,193995.4095044235,203514.2613286879
2019_Grotenete,rel_grotenete3,51.138881,4.996931,Release,A1,River,rel_grotenete3,193964.1984523769,203389.83603950683
