Station.name,ws-53A,ws-borssele,ws-WN2,ws-42A,ws-HW6,ws-18,ws-16,ws-12A,ws-15,ws-6,ws-55,ws-13,ws-PVTSS,ws-4,ws-F42,ws-OGDL,ws-OG10,ws-11,ws-15A,ws-A1,ws-W7,ws-A3,ws-2C,ws-25A,ws-TRAWL,ws-F53,ws-12,ws-14,ws-A5,ws-STEEN,ws-25B,ws-23,ws-PPC,ws-DL12,ws-DL7,ws-25,ws-53,acoustic_project_code,Latitude,Longitude,Type,Array,Section
gn-14,124636.91354363,150210.858381889,166726.886760869,124875.449618192,125913.932741057,142004.24205228,143114.179115753,144758.372548742,147763.924003773,147371.08533973,124122.67691822701,148716.683465814,148368.144138157,147761.048991823,125024.002183775,164884.091402011,165639.74718873,149023.798469035,147353.940607565,147326.786003344,166398.367177326,146816.809226098,148472.397367352,144238.38589944,166682.587424482,125185.439633363,145509.7604125,143965.560360548,146348.256773288,165764.117426771,143087.024511531,145514.020260658,147196.763006134,165766.887099186,167915.307285522,144738.352804628,124985.452871287,2019_Grotenete,51.138267,4.996319,Hydrophone,A1,River
gn-13,122388.378854212,147962.323692471,164478.352071451,122626.914928774,123665.398051638,139755.707362862,140865.644426334,142509.837859324,145515.389314355,145122.550650311,121874.142228809,146468.148776396,146119.609448738,145512.514302405,122775.467494356,162635.556712593,163391.212499312,146775.263779616,145105.405918147,145078.251313925,164149.832487908,144568.274536679,146223.862677934,141989.851210021,164434.052735064,122936.904943945,143261.225723082,141717.025671129,144099.72208387,163515.582737353,140838.489822112,143265.48557124,144948.228316716,163518.352409768,165666.772596103,142489.81811521,122736.918181869,2019_Grotenete,51.119771,4.990306,Hydrophone,A1,River
gn-11,118050.001109862,143623.945948121,160139.974327101,118288.537184424,119327.020307288,135417.329618512,136527.266681984,138171.460114974,141177.011570005,140784.172905961,117535.764484459,142129.771032046,141781.231704388,141174.136558055,118437.089750006,158297.178968243,159052.834754961,142436.886035266,140767.028173797,140739.873569575,159811.454743558,140229.896792329,141885.484933584,137651.473465671,160095.674990714,118598.527199595,138922.847978732,137378.647926779,139761.34433952,159177.204993003,136500.112077762,138927.10782689,140609.850572366,159179.974665417,161328.394851753,138151.44037086,118398.540437519,2019_Grotenete,51.09592,4.957142,Hydrophone,A1,River
gn-10,116942.93905834,142516.883896599,159032.912275578,117181.475132902,118219.958255766,134310.26756699,135420.204630462,137064.398063452,140069.949518483,139677.110854439,116428.702432937,141022.708980524,140674.169652866,140067.074506533,117330.027698484,157190.11691672,157945.772703439,141329.823983744,139659.966122275,139632.811518053,158704.392692036,139122.834740807,140778.422882062,136544.411414149,158988.612939192,117491.465148073,137815.78592721,136271.585875257,138654.282287998,158070.142941481,135393.05002624,137820.045775368,139502.788520844,158072.912613895,160221.332800231,137044.378319338,117291.478385997,2019_Grotenete,51.091558,4.945793,Hydrophone,A1,River
gn-9,114145.991326431,139719.936164689,156235.964543669,114384.527400992,115423.010523857,131513.31983508,132623.256898553,134267.450331542,137273.001786573,136880.16312253,113631.754701027,138225.761248614,137877.221920957,137270.126774623,114533.079966575,154393.169184811,155148.82497153,138532.876251835,136863.018390365,136835.863786144,155907.444960126,136325.887008897,137981.475150152,133747.463682239,156191.665207282,114694.517416163,135018.8381953,133474.638143347,135857.334556088,155273.195209571,132596.102294331,135023.098043458,136705.840788934,155275.964881986,157424.385068322,134247.430587428,114494.530654088,2019_Grotenete,51.081153,4.913762,Hydrophone,A1,River
gn-7,104328.110416362,129902.055254621,146418.0836336,104566.646490924,105605.129613788,121695.438925012,122805.375988484,124449.569421474,127455.120876505,127062.282212461,103813.873790959,128407.880338545,128059.341010888,127452.245864554,104715.199056506,144575.288274742,145330.944061461,128714.995341766,127045.137480296,127017.982876075,146089.564050057,126508.006098829,128163.594240083,123929.582772171,146373.784297213,104876.636506094,125200.957285231,123656.757233279,126039.45364602,145455.314299502,122778.221384262,125205.217133389,126887.959878866,145458.083971917,147606.504158253,124429.549677359,104676.649744019,2019_Grotenete,51.061848,4.787587,Hydrophone,A1,River
gn-6,101031.155405249,126605.100243508,143121.128622487,101269.691479811,102308.174602675,118398.483913899,119508.420977371,121152.614410361,124158.165865392,123765.327201348,100516.918779846,125110.925327433,124762.385999775,124155.290853442,101418.244045393,141278.333263629,142033.989050348,125418.040330653,123748.182469184,123721.027864962,142792.609038944,123211.051087716,124866.639228971,120632.627761058,143076.829286101,101579.681494982,121904.002274119,120359.802222166,122742.498634907,142158.359288389,119481.266373149,121908.262122277,123591.004867753,142161.128960804,144309.54914714,121132.594666247,101379.694732906,2019_Grotenete,51.078636,4.757592,Hydrophone,A1,River
gn-5,94405.766332221,119979.711170479,136495.739549459,94644.3024067828,95682.7855296471,111773.094840871,112883.031904343,114527.225337332,117532.776792363,117139.93812832,93891.5297068179,118485.536254404,118136.996926747,117529.901780413,94792.854972365,134652.944190601,135408.59997732,118792.651257625,117122.793396155,117095.638791934,136167.219965916,116585.662014688,118241.250155942,114007.23868803,136451.440213072,94954.2924219534,115278.61320109,113734.413149138,116117.109561878,135532.970215361,112855.877300121,115282.873049248,116965.615794725,135535.739887776,137684.160074111,114507.205593218,94754.305659878,2019_Grotenete,51.125942,4.718199,Hydrophone,A1,River
gn-4,89984.644911436,115558.589749694,132074.618128674,90223.1809859979,91261.6641088621,107351.973420086,108461.910483558,110106.103916547,113111.655371578,112718.816707535,89470.4082860329,114064.414833619,113715.875505962,113108.780359628,90371.73355158,130231.822769816,130987.478556534,114371.52983684,112701.67197537,112674.517371149,131746.098545131,112164.540593903,113820.128735157,109586.117267245,132030.318792287,90533.1710011684,110857.491780305,109313.291728353,111695.988141093,131111.848794576,108434.755879336,110861.751628463,112544.49437394,131114.61846699,133263.038653326,110086.084172433,90333.184239093,2019_Grotenete,51.135075,4.664932,Hydrophone,A1,River
gn-3,85797.8077918588,111371.752630117,127887.781009096,86036.3438664206,87074.8269892849,103165.136300508,104275.073363981,105919.26679697,108924.818252001,108531.979587958,85283.5711664557,109877.577714042,109529.038386385,108921.943240051,86184.8964320028,126044.985650238,126800.641436957,110184.692717263,108514.834855793,108487.680251572,127559.261425553,107977.703474326,109633.29161558,105399.280147667,127843.48167271,86346.3338815912,106670.654660728,105126.454608776,107509.151021516,126925.011674999,104247.918759759,106674.914508886,108357.657254362,126927.781347413,129076.201533749,105899.247052856,86146.3471195158,2019_Grotenete,51.130352,4.617316,Hydrophone,A1,River
gn-2,83659.3974775796,109233.342315838,125749.370694817,83897.9335521415,84936.4166750058,101026.725986229,102136.663049702,103780.856482691,106786.407937722,106393.569273678,83145.1608521765,107739.167399763,107390.628072105,106783.532925772,84046.4861177237,123906.575335959,124662.231122678,108046.282402983,106376.424541514,106349.269937292,125420.851111274,105839.293160046,107494.881301301,103260.869833388,125705.07135843,84207.9235673121,104532.244346449,102988.044294497,105370.740707237,124786.601360719,102109.50844548,104536.504194607,106219.246940083,124789.371033134,126937.79121947,103760.836738577,84007.9368052366,2019_Grotenete,51.135829,4.5937,Hydrophone,A1,River
gn-1,83235.1443611562,108809.089199415,125325.117578394,83473.680435718,84512.1635585823,100602.472869806,101712.409933278,103356.603366268,106362.154821299,105969.316157255,82720.9077357531,107314.91428334,106966.374955682,106359.279809349,83622.2330013002,123482.322219536,124237.978006255,107622.02928656,105952.17142509,105925.016820869,124996.597994851,105415.040043623,107070.628184878,102836.616716965,125280.818242007,83783.6704508886,104107.991230026,102563.791178073,104946.487590814,124362.348244296,101685.255329056,104112.251078183,105794.99382366,124365.117916711,126513.538103046,103336.583622153,83583.6836888132,2019_Grotenete,51.133464,4.588822,Hydrophone,A1,River
bn-3,81469.5206675949,107043.465505853,123559.493884832,81708.0567421567,82746.539865021,98836.8491762446,99946.7862397169,101590.979672706,104596.531127737,104203.692463694,80955.2840421918,105549.290589778,105200.751262121,104593.656115787,81856.6093077389,121716.698525975,122472.354312693,105856.405592999,104186.547731529,104159.393127308,123230.974301289,103649.416350062,105305.004491316,101070.993023404,123515.194548446,82018.0467573273,102342.367536464,100798.167484512,103180.863897252,122596.724550735,99919.6316354948,102346.627384622,104029.370130098,122599.494223149,124747.914409485,101570.959928592,81818.0599952519,2019_Grotenete,51.126391,4.571903,Hydrophone,A1,River
bn-2,79396.7981204189,104970.742958677,121486.771337656,79635.3341949808,80673.8173178451,96764.1266290686,97874.0636925409,99518.2571255304,102523.808580561,102130.969916518,78882.5614950158,103476.568042602,103128.028714945,102520.933568611,79783.8867605629,119643.975978799,120399.631765517,103783.683045823,102113.825184353,102086.670580132,121158.251754114,101576.693802886,103232.28194414,98998.2704762276,121442.47200127,79945.3242101513,100269.644989288,98725.4449373358,101108.141350076,120524.002003559,97846.9090883189,100273.904837446,101956.647582923,120526.771675973,122675.191862309,99498.2373814162,79745.3374480759,2019_Grotenete,51.117416,4.549158,Hydrophone,A1,River
bn-1,75102.8085352879,100676.753373546,117192.781752525,75341.3446098498,76379.8277327141,92470.1370439376,93580.0741074099,95224.2675403993,98229.8189954304,97836.9803313868,74588.5719098848,99182.5784574713,98834.0391298137,98226.9439834803,75489.8971754319,115349.986393668,116105.642180386,99489.6934606917,97819.8355992221,97792.6809950007,116864.262168983,97282.7042177547,98938.2923590093,94704.2808910966,117148.482416139,75651.3346250203,95975.6554041572,94431.4553522048,96814.1517649454,116230.012418428,93552.9195031878,95979.9152523151,97662.6579977915,116232.782090842,118381.202277178,95204.2477962852,75451.3478629449,2019_Grotenete,51.093001,4.506837,Hydrophone,A1,River
bn-Walem,70508.8630314524,96082.8078697109,112598.83624869,70747.3991060143,71785.8822288786,87876.1915401021,88986.1286035744,90630.3220365639,93635.8734915949,93243.0348275513,69994.6264060493,94588.6329536358,94240.0936259782,93632.9984796448,70895.9516715964,110756.040889832,111511.696676551,94895.7479568563,93225.8900953866,93198.7354911653,112270.316665147,92688.7587139192,94344.3468551738,90110.3353872611,112554.536912303,71057.3891211848,91381.7099003217,89837.5098483693,92220.2062611099,111636.066914592,88958.9739993524,91385.9697484796,93068.712493956,111638.836587007,113787.256773343,90610.3022924497,70857.4023591094,zeeschelde,51.07183,4.45474,Hydrophone,A1,River
ru-1,63083.6884061824,88657.6332444409,105173.66162342,63322.2244807443,64360.7076036086,80451.0169148321,81560.9539783044,83205.1474112939,86210.6988663249,85817.8602022813,62569.4517807793,87163.4583283659,86814.9190007083,86207.8238543748,63470.7770463264,103330.866264562,104086.522051281,87470.5733315863,85800.7154701167,85773.5608658953,104845.142039877,85263.5840886493,86919.1722299039,82685.1607619911,105129.362287033,63632.2144959148,83956.5352750518,82412.3352230993,84795.0316358399,104210.892289322,81533.7993740824,83960.7951232097,85643.537868686,104213.661961737,106362.082148073,83185.1276671798,63432.2277338394,2019_Grotenete,51.082273,4.366215,Hydrophone,A1,River
